ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	是否使用	角色品质	充能效率	治疗效果	受治疗效果	战斗config	是否远程射击角色	初始武器	武器种类	技能库ID	体力恢复速度	候选技能库ID	角色类型	角色突破ID	角色突破奖励获取等阶	角色突破奖励	特性组ID	名称$text_name_Name	描述$text_name_Desc
10000001		166	5	8	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	0	4	1	0	0	ConfigAvatar_Kate	0	11101	1	101	25		1	2	1;3;5	900011;900013;900015	10000001	凯特	
10000002		1058.1852	22.7164	61.0266	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Ayaka	0	11101	1	201	25		1	2	1;3;5	900021;900023;900025	10000002	神里绫华	稻妻名门「神里家」的千金，高贵而又优雅的美丽少女。
10000003		1143.984	18.62	59.83	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Qin	0	11101	1	301	25		1	3	1;3;5	900031;900033;900035	10000003	琴	正直严谨的蒲公英骑士，蒙德西风骑士团的代理团长。
10000005		911.791	17.808	57.225	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	5	1	0	0	ConfigAvatar_PlayerBoy	0	11101	1	501	25	501,502,503,504,505,506,507	0	12	1;3;5	900041;900043;900045	10000005	旅行者	从世界之外漂流而来的旅行者，被神带走血亲，自此踏上寻找七神之路。
10000006		802.37608	19.41072	48.069	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Lisa	0	14101	10	601	25		1	4	1;3;5	900051;900053;900055	10000006	丽莎	慵懒而博学的图书管理员，须弥教令院「两百年一见」的天才毕业生。
10000007		911.791	17.808	57.225	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	5	1	0	0	ConfigAvatar_PlayerGirl	0	11101	1	701	25	701,702,703,704,705,706,707	0	12	1;3;5	900041;900043;900045	10000007	旅行者	从世界之外漂流而来的旅行者，被神带走血亲，自此踏上寻找七神之路。
10000014		820.6119	13.356	56.0805	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Barbara	0	14101	10	1401	25		1	14	1;3;5	900061;900063;900065	10000014	芭芭拉	蒙德城的大家都喜欢芭芭拉。「偶像」这个词是她从一本杂志里看到的。
10000015		975.61637	18.6984	66.381	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Kaeya	0	11101	1	1501	25		1	15	1;3;5	900071;900073;900075	10000015	凯亚	异国面容的剑斗士，西风骑士团的头脑派人物。
10000016		1010.5192	26.068	61.0266	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Diluc	0	12101	11	1601	25		1	16	1;3;5	900081;900083;900085	10000016	迪卢克	坐拥蒙德大半酒业的贵公子，财力、人望、能力都令人无法小觑。
10000020		1002.9701	19.5888	62.9475	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Razor	0	12101	11	2001	25		1	20	1;3;5	900091;900093;900095	10000020	雷泽	住在蒙德地区奔狼领，远离城市与人群，和狼一同生活的少年。直觉锐利，身姿迅捷。
10000021		793.25817	18.6984	50.358	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Ambor	1	15101	12	2101	25		1	21	1;3;5	900101;900103;900105	10000021	安柏	永远充满活力的女孩，骑士团最优秀，同时也是最后的侦察骑士。
10000022		819.8552	20.482	52.0521	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Venti	1	15101	12	2201	25		1	22	1;3;5	900111;900113;900115	10000022	温迪	蒙德城诸多吟游诗人中的一位，自由自在地穿行在街头巷尾。
10000023		911.791	18.87648	56.0805	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Xiangling	0	13101	13	2301	25		1	23	1;3;5	900121;900123;900125	10000023	香菱	来自璃月，名声在外的少女厨师，对料理之道极具热情，拿手麻辣菜肴堪称一绝。
10000024		1094.1492	18.87648	54.36375	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Beidou	0	12101	11	2401	25		1	24	1;3;5	900131;900133;900135	10000024	北斗	武装船队「南十字」的首领，豪快的大姐头。
10000025		857.08354	16.9176	63.51975	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Xingqiu	0	11101	1	2501	25		1	25	1;3;5	900141;900143;900145	10000025	行秋	经常能在书摊看到的少年人。手执长剑，胸中常怀侠义之心。
10000026		991.4528	27.1852	62.2232	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Xiao	0	13101	13	2601	25		1	26	1;3;5	900151;900153;900155	10000026	魈	守护璃月的仙人，「夜叉」。美号「降魔大圣」，妙称「护法夜叉大将」。
