ServerBuffID	ServerBuff类型	Ability名称	Modifier名称	组ID	持续时间	自身叠加类型
1	1	Item_Food_Attack	AttackModifier	1	180	0
2	1	Item_Food_Defence	DefenceModifier	1	180	0
3	1	Item_Food_MaxHP	MaxHPModifier	2	180	0
100101	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_1	10	31	0
100102	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_2	10	31	0
100103	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_3	10	31	0
100104	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_4	10	31	0
100201	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_1	10	31	0
100202	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_2	10	31	0
100203	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_3	10	31	0
100204	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv2_4	10	31	0
100301	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_1	10	31	0
100302	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_2	10	31	0
100303	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_3	10	31	0
100304	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_4	10	31	0
105101	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_1	10		0
105102	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_2	10		0
105103	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_3	10		0
105104	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv51_4	10		0
105201	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_1	10		0
105202	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_2	10		0
105203	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_3	10		0
105204	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv52_4	10		0
105301	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_1	10		0
105302	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_2	10		0
105303	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_3	10		0
105304	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv53_4	10		0
110101	2	Atk_Team	Atk_Team_Modifier_lv1_1	11	300	0
110102	2	Atk_Team	Atk_Team_Modifier_lv1_2	11	300	0
110103	2	Atk_Team	Atk_Team_Modifier_lv1_3	11	300	0
110104	2	Atk_Team	Atk_Team_Modifier_lv1_4	11	300	0
110201	2	Atk_Team	Atk_Team_Modifier_lv2_1	11	300	0
110202	2	Atk_Team	Atk_Team_Modifier_lv2_2	11	300	0
110203	2	Atk_Team	Atk_Team_Modifier_lv2_3	11	300	0
110204	2	Atk_Team	Atk_Team_Modifier_lv2_4	11	300	0
110301	2	Atk_Team	Atk_Team_Modifier_lv3_1	11	300	0
110302	2	Atk_Team	Atk_Team_Modifier_lv3_2	11	300	0
110303	2	Atk_Team	Atk_Team_Modifier_lv3_3	11	300	0
110304	2	Atk_Team	Atk_Team_Modifier_lv3_4	11	300	0
110401	2	Atk_Team	Atk_Team_Modifier_lv4_1	11	300	0
110402	2	Atk_Team	Atk_Team_Modifier_lv4_2	11	300	0
110403	2	Atk_Team	Atk_Team_Modifier_lv4_3	11	300	0
110404	2	Atk_Team	Atk_Team_Modifier_lv4_4	11	300	0
110501	2	Atk_Team	Atk_Team_Modifier_lv5_1	11	300	0
110502	2	Atk_Team	Atk_Team_Modifier_lv5_2	11	300	0
110503	2	Atk_Team	Atk_Team_Modifier_lv5_3	11	300	0
110504	2	Atk_Team	Atk_Team_Modifier_lv5_4	11	300	0
120101	2	Def_Team	Def_Team_Modifier_lv1_1	12	300	0
120102	2	Def_Team	Def_Team_Modifier_lv1_2	12	300	0
120103	2	Def_Team	Def_Team_Modifier_lv1_3	12	300	0
120104	2	Def_Team	Def_Team_Modifier_lv1_4	12	300	0
120201	2	Def_Team	Def_Team_Modifier_lv2_1	12	300	0
120202	2	Def_Team	Def_Team_Modifier_lv2_2	12	300	0
120203	2	Def_Team	Def_Team_Modifier_lv2_3	12	300	0
120204	2	Def_Team	Def_Team_Modifier_lv2_4	12	300	0
120301	2	Def_Team	Def_Team_Modifier_lv3_1	12	300	0
120302	2	Def_Team	Def_Team_Modifier_lv3_2	12	300	0
120303	2	Def_Team	Def_Team_Modifier_lv3_3	12	300	0
120304	2	Def_Team	Def_Team_Modifier_lv3_4	12	300	0
120401	2	Def_Team	Def_Team_Modifier_lv4_1	12	300	0
120402	2	Def_Team	Def_Team_Modifier_lv4_2	12	300	0
120403	2	Def_Team	Def_Team_Modifier_lv4_3	12	300	0
120404	2	Def_Team	Def_Team_Modifier_lv4_4	12	300	0
120501	2	Def_Team	Def_Team_Modifier_lv5_1	12	300	0
120502	2	Def_Team	Def_Team_Modifier_lv5_2	12	300	0
120503	2	Def_Team	Def_Team_Modifier_lv5_3	12	300	0
120504	2	Def_Team	Def_Team_Modifier_lv5_4	12	300	0
150301	2	Def_Team	Shield_Team_Modifier_lv3_1	12	300	0
150302	2	Def_Team	Shield_Team_Modifier_lv3_2	12	300	0
150303	2	Def_Team	Shield_Team_Modifier_lv3_3	12	300	0
150304	2	Def_Team	Shield_Team_Modifier_lv3_4	12	300	0
150401	2	Def_Team	Shield_Team_Modifier_lv4_1	12	300	0
150402	2	Def_Team	Shield_Team_Modifier_lv4_2	12	300	0
150403	2	Def_Team	Shield_Team_Modifier_lv4_3	12	300	0
150404	2	Def_Team	Shield_Team_Modifier_lv4_4	12	300	0
140201	2	Critical_Team	Critical_Team_Modifier_lv2_1	11	300	0
140202	2	Critical_Team	Critical_Team_Modifier_lv2_2	11	300	0
140203	2	Critical_Team	Critical_Team_Modifier_lv2_3	11	300	0
140204	2	Critical_Team	Critical_Team_Modifier_lv2_4	11	300	0
140301	2	Critical_Team	Critical_Team_Modifier_lv3_1	11	300	0
140302	2	Critical_Team	Critical_Team_Modifier_lv3_2	11	300	0
140303	2	Critical_Team	Critical_Team_Modifier_lv3_3	11	300	0
140304	2	Critical_Team	Critical_Team_Modifier_lv3_4	11	300	0
160301	2	Critical_Team	Physical_Team_Modifier_lv3_1	11	300	0
160302	2	Critical_Team	Physical_Team_Modifier_lv3_2	11	300	0
160303	2	Critical_Team	Physical_Team_Modifier_lv3_3	11	300	0
160304	2	Critical_Team	Physical_Team_Modifier_lv3_4	11	300	0
160401	2	Critical_Team	Physical_Team_Modifier_lv4_1	11	300	0
160402	2	Critical_Team	Physical_Team_Modifier_lv4_2	11	300	0
160403	2	Critical_Team	Physical_Team_Modifier_lv4_3	11	300	0
160404	2	Critical_Team	Physical_Team_Modifier_lv4_4	11	300	0
200101	1	revive_buff	revive_buff_Modifier_lv1_1	20	1	0
200102	1	revive_buff	revive_buff_Modifier_lv1_2	20	1	0
200103	1	revive_buff	revive_buff_Modifier_lv1_3	20	1	0
200104	1	revive_buff	revive_buff_Modifier_lv1_4	20	1	0
200201	1	revive_buff	revive_buff_Modifier_lv2_1	20	1	0
200202	1	revive_buff	revive_buff_Modifier_lv2_2	20	1	0
200203	1	revive_buff	revive_buff_Modifier_lv2_3	20	1	0
200204	1	revive_buff	revive_buff_Modifier_lv2_4	20	1	0
200301	1	revive_buff	revive_buff_Modifier_lv3_1	20	1	0
200302	1	revive_buff	revive_buff_Modifier_lv3_2	20	1	0
200303	1	revive_buff	revive_buff_Modifier_lv3_3	20	1	0
200304	1	revive_buff	revive_buff_Modifier_lv3_4	20	1	0
210201	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv2_1	21	900	0
210202	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv2_2	21	900	0
210203	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv2_3	21	900	0
210204	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv2_4	21	1500	0
210301	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv3_1	21	900	0
210302	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv3_2	21	900	0
210303	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv3_3	21	900	0
210304	2	Stamina_Fly_Team	Stamina_Fly_Team_Modifier_lv3_4	21	1500	0
220201	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv2_1	21	900	0
220202	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv2_2	21	900	0
220203	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv2_3	21	900	0
220204	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv2_4	21	1500	0
220301	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv3_1	21	900	0
220302	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv3_2	21	900	0
220303	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv3_3	21	900	0
220304	2	Stamina_Climb_Team	Stamina_Climb_Team_Modifier_lv3_4	21	1500	0
230201	2	Stamina_Sprint_Team	Stamina_Sprint_Team_Modifier_lv2_1	21	900	0
230202	2	Stamina_Sprint_Team	Stamina_Sprint_Team_Modifier_lv2_2	21	900	0
230203	2	Stamina_Sprint_Team	Stamina_Sprint_Team_Modifier_lv2_3	21	900	0
230204	2	Stamina_Sprint_Team	Stamina_Sprint_Team_Modifier_lv2_4	21	1500	0
240201	2	Stamina_Swim_Team	Stamina_Swim_Team_Modifier_lv2_1	21	900	0
240202	2	Stamina_Swim_Team	Stamina_Swim_Team_Modifier_lv2_2	21	900	0
240203	2	Stamina_Swim_Team	Stamina_Swim_Team_Modifier_lv2_3	21	900	0
240204	2	Stamina_Swim_Team	Stamina_Swim_Team_Modifier_lv2_4	21	1500	0
170201	2	MoveSpeed_lv2_1	MoveSpeed_Modifier_lv2_1	21	60	0
130101	2	Element_Def_Team	Element_Def_Fire	13	300	0
130102	2	Element_Def_Team	Element_Def_Water	13	300	0
130103	2	Element_Def_Team	Element_Def_Ice	13	300	0
130104	2	Element_Def_Team	Element_Def_Wind	13	300	0
130105	2	Element_Def_Team	Element_Def_Elec	13	300	0
130106	2	Element_Def_Team	Element_Def_Rock	13	300	0
130107	2	Element_Def_Team	Element_Def_Grass	13	300	0
135101	2	Element_Atk_Team	Element_Atk_Fire	13	300	0
135102	2	Element_Atk_Team	Element_Atk_Water	13	300	0
135103	2	Element_Atk_Team	Element_Atk_Ice	13	300	0
135104	2	Element_Atk_Team	Element_Atk_Wind	13	300	0
135105	2	Element_Atk_Team	Element_Atk_Elec	13	300	0
135106	2	Element_Atk_Team	Element_Atk_Rock	13	300	0
135107	2	Element_Atk_Team	Element_Atk_Grass	13	300	0
130121	2	Def_Element_lv2_1	Def_Element_Modifier_lv1_1	13	300	0
130122	2	Def_Element_lv2_1	Def_Element_Modifier_lv1_2	13	300	0
130123	2	Def_Element_lv2_1	Def_Element_Modifier_lv1_3	13	300	0
130124	2	Def_Element_lv2_1	Def_Element_Modifier_lv2_1	13	300	0
400101	1	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_99	10	20	0
300001	2	ClimateAbility_Cold	ClimateAbility_Cold_Lv1	30	999999	0
300002	2	ClimateAbility_Cold	ClimateAbility_Cold_Lv2	31	999999	0
300003	2	ClimateAbility_Cold	ClimateAbility_Cold_Area	32	999999	0
139901	2	Elec_Team	Elec_Team_Modifier_lv2_1	13	300	0
139902	2	Elec_Team	Elec_Team_Modifier_lv2_2	13	300	0
139903	2	Elec_Team	Elec_Team_Modifier_lv2_3	13	300	0
139904	2	Fire_Team	Fire_Team_Modifier_lv2_1	13	300	0
139905	2	Fire_Team	Fire_Team_Modifier_lv2_2	13	300	0
139906	2	Fire_Team	Fire_Team_Modifier_lv2_3	13	300	0
139907	2	Water_Team	Water_Team_Modifier_lv2_1	13	300	0
139908	2	Water_Team	Water_Team_Modifier_lv2_2	13	300	0
139909	2	Water_Team	Water_Team_Modifier_lv2_3	13	300	0
500101	2	Dulins_Blood_Buff	Dulins_Blood_Smash_Ice_Buff	51	25	0
500102	2	Dulins_Blood_Buff	Dulins_Blood_Smash_Ice_Buff_Event	51	25	0
500201	2	Anti_Cold_Food_Buff	Anti_Cold_Buff_lv2_1	52	900	0
500202	2	Anti_Cold_Food_Buff	Anti_Cold_Buff_lv2_2	52	900	0
500203	2	Anti_Cold_Food_Buff	Anti_Cold_Buff_lv2_3	52	900	0
500204	2	Anti_Cold_Food_Buff	Anti_Cold_Buff_lv2_4	52	1500	0
600101	2	SceneObj_Gear_ElemForce_SuccessBuff	SuccessBuff_Attack	61	300	0
