限制条件编号	限制条件类型	限制条件参数1	限制条件参数2	互斥组	完成积分
1	2	1324			40
2	2	1325			50
3	2	1326			50
4	2	1327			50
5	2	1328			60
6	2	1329			60
7	2	1330			-50
8	2	1331			-50
9	2	1332			40
10	2	1333			50
11	2	1334			50
12	2	1335			60
13	2	1336			-50
14	2	1337			40
15	2	1338			-50
16	2	1339			40
17	2	1340			40
18	2	1341			-50
19	2	1342			60
20	2	1343			60
21	1	120		1	100
22	1	240		1	150
23	1	300		1	200
24	2	1345			40
25	2	1346			50
26	2	1347			50
27	2	1348			60
28	2	1349			-50
29	2	1350			-50
30	2	1351			-50
31	1	210		1	100
32	1	480		1	150
33	1	660		1	200
34	2	1332			50
35	2	1337			50
36	2	1345			50
37	2	1334			50
38	2	1340			50
39	2	1335			60
40	2	1327			60
41	2	1328			60
42	2	1342			60
43	2	1343			60
44	2	1329			60
45	2	1326			60
46	2	1347			60
47	2	1339			60
48	2	1350			-50
49	2	1351			-50
50	2	1349			-50
51	2	1339			50
52	2	1335			60
53	2	1334			40
54	2	1328			50
55	2	1360		2	100
56	2	1361		2	150
57	2	1362		2	200
