ID	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID
40000001	9999	25	蒸汽桶炮	SteamBangField							Default_Item	
40000002	1001	18	电光拳	ThunderFistField							Default_Item	
40000003	1001	3	草飞镖	GrassDart	1						Default_Item	
40000004	1001	3	鲨鱼雷	SharkTorpedo	1						Default_Item	
40000005	1001	18	鲨鱼雷喷泉	SharkTorpedo_Spurt	1						Default_Item	
40000006	1001	18	鲨鱼雷喷泉2	SharkTorpedo_Spurt_2	1						Default_Item	
40000007	1001	19	岩属性创生物超限替换物	CreationLimit_Dummy								
40000104	1001	3	大冰枪	FrostSpear	1						Default_Item	
40000115	1001	18	绫华-冰刺（左）	IceSpine_Old							Default_Item	
40000116	1001	18	绫华-冰刺（中）	IceSpine_Old							Default_Item	
40000117	1001	18	绫华-冰刺（右）	IceSpine_Old							Default_Item	
40000118	1001	3	凯文-冲击波	Kevin_RockImpact	1						Default_Item	
40000119	1001	18	可变Trigger	ModifiedTrigger							Default_Item	
40000120	1001	18	冲击波减速带	RockImpactTrap							Default_Item	
40000121	1001	18	绫华-冰刺(浮空击）	IceSpine_Strike							Default_Item	
40000148	1001	18	雷泽-天狼之痕	ClawMark_Mark	1	1					Default_Item	
40000154	1001	18	雷泽-天狼之痕（狼神）	ClawMark_Mark_Lycan	1	1					Default_Item	
40000160	1001	3	安柏无属性蓄力箭	AimingArrow_WithoutFire	1	1					Default_Item	
40000161	1001	3	无属性双发箭	Double_ArrowAiming_WithoutFire	1	1					Default_Item	
40000172	1001	3	霜冻宝珠	Frost_Orb	1	1					Default_Item	
40000173	1001	3	霜冻宝珠-发射物	Frost_Orb_Bullet	1	1					Default_Item	
40000174	1001	3	新做的火炸弹	JumpDrug_Whitbox_01	1	1					Default_Item	
40000175	1001	3	新做的火炸弹	JumpDrug_Whitbox_02	1	1					Default_Item	
40000176	1001	3	新做的火炸弹	JumpDrug_Whitbox_03	1	1					Default_Item	
40000177	1001	3	新做的火炸弹	JumpDrug_Whitbox_04	1	1					Default_Item	
40000178	1001	3	空物件，用于指定globalvalue	EmptyGadget	1	1					Default_Item	
40000179	1001	3	安柏飞行投弹	AmborFlyBullet	1						Default_Item	
40000129	1001	18	冰霜陷阱	IceSpell_Wards_Trap							Default_Item	
40010000	1001	3	测试用子弹(便于快速链接ability)	Weapon_Test_Bullet	1						Default_Item	
40010001	1001	3	法器额外秘法箭效果	Weapon_Arcane_Arrow	1						Default_Item	
40010002	1001	3	天空之傲刀波效果	Weapon_AttackWave	1						Default_Item	
40010003	1001	3	天空之卷风元素球跟随	Weapon_WindBall	1						Default_Item	
40010004	1001	3	天空之卷风元素球发射的子弹	Weapon_Arcane_Bullet	1						Default_Item	
40010005	1001	3	多次弹射的球	Weapon_BouncingBall	1						Default_Item	
40010006	1001	3	直线带穿透的光箭	Weapon_PiercingLight	1						Default_Item	
40010007	1001	3	从天而降的光剑	Weapon_SkySword	1						Default_Item	
40010008	1001	3	伤害+击退符	Weapon_Bullet_Yang	1						Default_Item	
40010009	1001	3	减速+回血符，低伤+减防	Weapon_Bullet_Yin	1						Default_Item	
40010010	1001	3	明灯，单体伤害	Weapon_Lanternrite_Bright	1						Default_Item	
