ID	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID
70000001	9001	10	草	Grass01		1					Default_Item	
70000002	9002	20	水	Water01		1					Default_Item	
70000003	9001	36	树	Tree01		1					Default_Item	
70000004	9001	37	矮灌木	Bush01		1					Default_Item	
70000005	9001	37	高灌木	Bush02		1					Default_Item	
70000006	9001	37	白色狗尾草	Foxtail_Grass01		1					Default_Item	
70000007	9001	37	黄色狗尾草	Foxtail_Grass02		1						
70000008	9001	37	黄色灌木	Bush_Yellow		1						
70000009	9001	39	雷雨天的闪电	Storm_Lightning		1						
70000010	9001	37	雪山灌木	Bush_NoFire01		1					Default_Item	
70010001	0	13	塔								Default_Item	
70010002	0	15	传送点								Default_Item	
70010003	0	15	副本入口								Default_Item	
70010004	0	15	副本路点								Default_Item	
70010005	0	15	副本内部的离开点								Default_Item	
70010006	0	18	本地触发器	LocalTrigger							Default_Item	
70020001	4001	19	蒙德城天气	Enviro01					3		Default_Item	
70020002	4001	19	风魔龙天气	Enviro02					3		Default_Item	
70020003	4001	19	蒙德一阶段天气	Enviro03					3		Default_Item	
70110001	0	13	蒙德神像	SceneObj_Resident_Goddess		1						
70110002	0	15	传送石碑	SceneObj_Resident_Teleport		1						
70110003	0	15	空中传送门									
70110004	0	13	璃月神像	SceneObj_Resident_Goddess_LY		1						
70110005	0	15	空中传送门	SceneObj_Resident_WormHoleGate02								
70120001	5001	15	蒙德常规地城	SceneObj_Resident_DungeonEntry_MengDe01		1			2			
70120002	5001	15	蒙德隐藏地城	SceneObj_Resident_DungeonEntry_MengDe02		1			2			
70120003	0	15	复活点	SceneObj_Resident_CheckPoint		1			1			
70120004	0	15	地城退出点						1			
70120005	0	15	风龙副本入口特效	DungeonEntry_Dvalin					1			
70120006	5001	15	临时地城特效	SceneObj_Resident_DungeonEntry_Temp		1						
70120007	5001	15	临时地城特效（3D）	SceneObj_Resident_DungeonEntry_Temp_3d		1						
70120008	5001	15	爬塔地城门	SceneObj_Resident_DungeonEntry_MengDe03		1			2			
70130001	5001	19	风车	Windmill	1				2			
70130002	5001	19	风车02	Windmill	1				2			
70130003	5001	19	垂直向风车	Windmill	1				2			
70130004	5001	19	各城市合成用炼金台									
