ID	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID
42001001	4001	19	史莱姆-冰锥-目标点	Slime_IceCone_AimPoint							Default_Item	
42001002	4001	3	史莱姆岩锥	Slime_RockThrow	1						Default_Item	
42001003	4001	3	史莱姆气泡-弹道	Slime_Bubble	1						Default_Item	
42001004	4001	3	史莱姆-冰锥	Slime_IceCone	1						Default_Item	
42001005	4001	19	史莱姆-冰雾	Slime_IceFog							Default_Item	
42001006	4001	3	史莱姆-电流	Slime_Current	1						Default_Item	
42001007	4001	3	史莱姆-空气炮	Slime_AirAtk	1						Default_Item	
42001010	4001	19	史莱姆-风场虚拟体	Slime_WindZone_02							Default_Item	
42001011	4001	19	史莱姆-风场虚拟体	Slime_WindZone_03							Default_Item	
42001012	4001	3	史莱姆-种子（召唤）	Slime_Seed	1						Default_Item	
42001013	4001	3	史莱姆-种子（攻击）	Slime_SeedAtk	1						Default_Item	
42001014	4001	19	史莱姆-生根发芽	Slime_SeedGrow							Default_Item	
42001015	4001	3	史莱姆-漂浮毒气	Slime_SeedFloat	1						Default_Item	
42001016	1001	23	风史莱姆气流场	Slime_Airflow							Default_Item	
42001017	4001	19	史莱姆火焰路径	Slime_FireTrail							Default_Item	
42001018	4001	19	史莱姆自爆虚拟体	Slime_SelfExplosion_01	1						Default_Item	
42001019	4001	19	史莱姆自爆虚拟体	Slime_SelfExplosion_02	1						Default_Item	
42001020	4001	19	史莱姆自爆虚拟体	Slime_SelfExplosion_03	1						Default_Item	
42001021	4001	3	史莱姆气泡-地面弹跳	Slime_Bubble_Bounce	1						Default_Item	
42001022	4001	3	史莱姆气泡-地面悬浮	Slime_Bubble_Float	1						Default_Item	
42001023	4001	3	回家火球，击中自己后自爆	Slime_FindHome_FireBall	1						Default_Item	
42001024	4001	3	史莱姆-气泡投射物	Slime_Bubble_Missile	1						Default_Item	
42001025	4001	19	火球击中后重生刚体	Slime_FireBall_RigidBody	1						Default_Item	
42002001	4001	19	风元素球气流场虚拟体	Elemental_AirflowField							Default_Item	
42002002	4001	19	风元素球气流屏障	Elemental_EarthWrath							Default_Item	
42002003	1001	23	风元素球气流场	Elemental_Airflow							Default_Item	
42002101	4001	19	雷元素复活碎片	Elemental_ElectircRebornPart							Default_Item	
42003001	4001	3	雷莹—电球	Cicin_ElectricBall	1						Default_Item	
42003002	4001	19	雷莹—闪现锚点	Cicin_BlinkPoint							Default_Item	
42003003	4001	3	雷莹—雷盾能量球	Cicin_ThunderEnergy	1						Default_Item	
