ID	默认阵营	类型	描述	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称	联机动态属性ID
70300003	1001	19	飞行中吃的金币	SceneObj_Quest_Flying_Get_Coin_Effect							SceneObj_Quest_Flying_Get_Coin_Effect	
70300004	1001	19	飞行终点的花环	SceneObj_Quest_Flying_Get_GoalFollower_Effect							SceneObj_Quest_Flying_Get_GoalFollower_Effect	
70300005	1001	19	飞行终点的花环消失的特效	SceneObj_Quest_Flying_Get_GoalFollower_Disappear_Effect							SceneObj_Quest_Flying_Get_GoalFollower_Disappear_Effect	
70300006	1001	22	印在建筑上的古文诗	SceneObj_Quest_Guide_TargetPoint							SceneObj_Quest_Guide_TargetPoint	
70300007	1001	22	丽莎实验室里一只咕嘟嘟冒泡的坩埚旁边的一碗闪光药剂	SceneObj_Gather_Default_Gather							Default_Item	
70300008	1001	22	半截乐谱，以派蒙的素养并不能看懂。右下角标记着"S to J"的字样	SceneObj_Gather_Default_Gather							Default_Item	
70300009	1001	22	里面出了日常文件，还有一本《少女薇拉的烦恼》	SceneObj_Gather_Default_Gather							Default_Item	
70300010	1001	22	因为是风之国土的民俗地理考察，故称“风土人情”。卷三主要讲述了恋人岬和马斯克礁的相关信息。能在地理志里塞进这么多肉麻情话和恋爱日记，作者真是个人才。	SceneObj_Gather_Default_Gather							Default_Item	
70300011	1001	22	丽莎拜托主角带给琴，说是《少女薇拉的秘密》下卷有消息了	SceneObj_Gather_Default_Gather							Default_Item	
70300012	1001	22	丽莎帮芭芭拉制作的药剂。看起来和普通药水一样，但是包含了某些更厉害的东西。“喝下它，你也可以闪耀”	SceneObj_Gather_Default_Gather							Default_Item	
70300013	5001	19	风龙羽毛	DragonFeather		1			2		Default_Item	
70300014	5001	19	风龙羽毛	DragonFeather_HP		1			1		DragonFeather_HP	
70300015	5001	19	风龙羽毛	DragonFeather_HP		1			1		DragonFeather_HP	
70300016	5001	19	风龙羽毛	DragonFeather_HP		1			1		DragonFeather_HP	
70300017	1001	18	安柏诱饵，不会爆炸	Dummy_Safe	1	1					Default_Item	
70300018	5001	19	风史莱姆	DragonFeather							Default_Item	
70300020	1001	22	蛐蛐								Default_Item	
70300021	1001	19	蛐蛐声（小）	SceneObj_Quest_Cricket_Sound_Small							SceneObj_Quest_Cricket_Sound_Small	
70300022	1001	19	蛐蛐声（中）	SceneObj_Quest_Cricket_Sound_Middle							SceneObj_Quest_Cricket_Sound_Middle	
70300023	1001	19	蛐蛐声（大）	SceneObj_Quest_Cricket_Sound_Big							SceneObj_Quest_Cricket_Sound_Big	
70300024	1001	19	蛐蛐声（巨）	SceneObj_Quest_Cricket_Sound_Loud							SceneObj_Quest_Cricket_Sound_Loud	
70300031	1001	19	浮桥木板						2		Default_Item	
70300032	1001	19	浮桥木板								Default_Item	
70300036	1001	3	潜入诱饵	Sneak_Crouch_Throw	1	1					Default_Item	
70300037	1001	19	温迪脚印	ElementTrack							Default_Item	
70300038	1001	22	风龙留下的泪滴，似乎涌动着一股污浊的力量	SceneObj_Quest_Interact_Muddy_CrysTear							SceneObj_Quest_Interact_Muddy_CrysTear	
70300039	5001	19	特殊的暴风结晶	DragonFeather					2		Default_Item	
70300040	1001	19	风神巴巴托斯的至宝，可以用来呼唤风龙特瓦林。如今已然失去风元素的加持。								Default_Item	
70300041	1001	19	风龙留下的泪滴，似乎涌动着一股污浊的力量。	SceneObj_Quest_NoInteract_Muddy_CrysTear							SceneObj_Quest_NoInteract_Muddy_CrysTear	
70300042	1001	19	风龙留下的泪滴，似乎涌动着一股清澈的风元素之力。	SceneObj_Quest_Clear_CrysTear							SceneObj_Quest_Clear_CrysTear	
70300043	1001	22	破旧的羊皮纸	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	
70300044	1001	22	破旧的羊皮纸	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	
70300045	1001	22	潦草的地图	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	
70300046	5001	19	风龙羽毛	DragonFeather					1		Default_Item	
70300047	5001	19	判断攻击风龙羽毛cutscene的东西	TransparentHitSphere					1		TransparentHitSphere	
70300048	1001	19	能坐下的地方									
70300049	1001	19	风龙留下的泪滴，似乎涌动着一股污浊的力量	SceneObj_Quest_NoInteract_Muddy_CrysTear_Dialog							SceneObj_Quest_NoInteract_Muddy_CrysTear_Dialog	
70300050	1001	22	通用临时任务道具，Default_NoDrop_Item	SceneObj_Gather_Default_Gather							Default_NoDrop_Item	
