索引id	类型	参数1	参数2	参数3	单机是否需要预准备	单机预准备时长	联机是否需要预准备	联机预准备时长	是否能够主动中断	SceneID	控制GroupID	GroupID	复活点GroupID	复活点ConfigID	ability_group	玩法限时
1001	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5	1	10	0		1	3	133003788	133003788	133003795	795002	ActivityAbility_WindFlora_BalloonShoot	150
1003	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5	1	10	0		1	3	133003789	133003789	133003796	796002	ActivityAbility_WindFlora_BalloonShoot	150
1004	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5	1	10	0		1	3	133002479	133002479	133002493	493002	ActivityAbility_WindFlora_BalloonShoot	150
1005	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5	1	10	0		1	3	133004460	133004460	133004475	475002	ActivityAbility_WindFlora_BalloonShoot	180
2001	2	70360137:35,70360138:200,70360139:400	70360139	10	1	10	0		1	3	133001591	133001591,133001592,133001593,133001594,133001595,133001596,133001598	133001591	591017	ActivityAbility_FleurFair_FlyBall	150
2002	2	70360137:35,70360138:200,70360139:400	70360139	10	1	10	0		1	3	133001585	133001585,133001586,133001587,133001588,133001589,133001590,133001597	133001585	585017	ActivityAbility_FleurFair_FlyBall	160
2003	2	70360137:35,70360138:200,70360139:400	70360139	10	1	10	0		1	3	133004465	133004465,133004466,133004467,133004468,133004469,133004470,133004473	133004465	465017	ActivityAbility_FleurFair_FlyBall	140
2004	2	70360137:35,70360138:200,70360139:400	70360139	10	1	10	0		1	3	133004453	133004453,133004454,133004455,133004456,133004457,133004458,133004472	133004453	453017	ActivityAbility_FleurFair_FlyBall	140
5001	3				0		0		0	3						
6001	5				0		0		0	35800	235800006	235800006			ActivityAbility_WindFlora_Wudi	63
6002	4	200	1:1;2:1.2;3:1.4;4:1.6		0		0		0	35800	235800005	235800005			ActivityAbility_WindFlora_Wudi	93
6003	7				0		0		0	35800	235800002	235800002			ActivityAbility_WindFlora_Wudi	63
6004	4	150	1:1;2:1.2;3:1.4;4:1.6		0		0		0	35800	235800004	235800004			ActivityAbility_WindFlora_Wudi	63
6005	8				0		0		0	35800	235800009	235800009			ActivityAbility_WindFlora_Wudi	63
6006	9				0		0		0	35800	235800010	235800010			ActivityAbility_WindFlora_Wudi	63
6007	9				0		0		0	35800	235800011	235800011			ActivityAbility_WindFlora_Wudi	63
6008	10				0		0		0	35800	235800003	235800003			ActivityAbility_WindFlora_RecordFloorMemory	93
