ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]1参数4	[使用]1参数5	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落	饱食度参数	摧毁规则	摧毁返还道具	摧毁返还数量	组ID
101	1		12					角色经验							1											3							
102	1		13					冒险阅历							1											3							
103	2		10												1											3							
104	2		20												1											4							
105	1		11					好感经验							1											3							
106	1		10					体力							1											3							
107	1		10												1											4							
108	1																									4	1						
109	1																									3	1						
110	1																									4	1						
111	1																									3	1						
112	1																									3	1						
113	1																									4	1						
114	1			70590029					23																	3	1						
115	1																									3	1						
116	1																									3							
117	1																									3							
118	1																									3							
119	1																									3							
120	1																									3							
201	1		30	70590012				原石	8						1											5	1						
202	1		10	70590011				摩拉	8						1											3							
203	1		30					礼包币							1											5	1						
210	2		10						5			8														2							
211	2		10						5			3														3							
221	2		401	70900001				扭蛋兑换券	5			1000000														5							
222	2		402	70900001				扭蛋兑换券	5			1000000														4							
223	2		403	70900001				扭蛋券	5			1000000														5							
224	2		404	70900001				扭蛋券	5			1000000														5							
301	2		405	70590016				七国徽印	5			9999														3	1						
302	2		405	70590017				七国徽印	5			9999														3	1						
303	2		405	70590019				七国徽印	5			9999														3	1						
304	2		405	70590020				七国徽印	5			9999														3	1						
305	2		405	70590014				七国徽印	5			9999														3	1						
306	2		405	70590018				七国徽印	5			9999														3	1						
307	2		405	70590015				七国徽印	5			9999														3	1						
315	1																									3							
317	1																									3							
911	2		10					命之座	20			1000														5							
912	2		10					命之座	20			1000														5							
913	2		10					命之座	20			1000														5							
914	2		10					命之座	20			1000														5							
915	2		10					命之座	20			1000														5							
916	2		10					命之座	20			1000														5							
917	2		10					命之座	20			1000														5							
1002	2							角色	7			1000	99	1			3	10000002								5							
1003	2							角色	7			1000	99	1			3	10000003								5							
1005	2							角色	7			1000	99	1			3	10000005								5							
1006	2							角色	7			1000	99	1			3	10000006								4							
1007	2							角色	7			1000	99	1			3	10000007								5							
1014	2							角色	7			1000	99	1			3	10000014								4							
1015	2							角色	7			1000	99	1			3	10000015								4							
1016	2							角色	7			1000	99	1			3	10000016								5							
1020	2							角色	7			1000	99	1			3	10000020								4							
1021	2							角色	7			1000	99	1			3	10000021								4							
1022	2							角色	7			1000	99	1			3	10000022								5							
1023	2							角色	7			1000	99	1			3	10000023								4							
1024	2							角色	7			1000	99	1			3	10000024								4							
1025	2							角色	7			1000	99	1			3	10000025								4							
1026	2							角色	7			1000	99	1			3	10000026								5							
1027	2							角色	7			1000	99	1			3	10000027								4							
1029	2							角色	7			1000	99	1			3	10000029								5							
1030	2							角色	7			1000	99	1			3	10000030								5							
1031	2							角色	7			1000	99	1			3	10000031								4							
1032	2							角色	7			1000	99	1			3	10000032								4							
1033	2							角色	7			1000	99	1			3	10000033								5							
1034	2							角色	7			1000	99	1			3	10000034								4							
1035	2							角色	7			1000	99	1			3	10000035								5							
1036	2							角色	7			1000	99	1			3	10000036								4							
1037	2							角色	7			1000	99	1			3	10000037								5							
1038	2							角色	7			1000	99	1			3	10000038								5							
1039	2							角色	7			1000	99	1			3	10000039								4							
1041	2							角色	7			1000	99	1			3	10000041								5							
1042	2							角色	7			1000	99	1			3	10000042								5							
1043	2							角色	7			1000	99	1			3	10000043								4							
1044	2							角色	7			1000	99	1			3	10000044								4							
1045	2							角色	7			1000	99	1			3	10000045								4							
1046	2							角色	7			1000	99	1			3	10000046								5							
1102	2		30					命之座	20			1000														5							
1103	2		30					命之座	20			1000														5							
1105	2		20					命之座	20			1000														5							
1106	2		20					命之座	20			1000														4							
1107	2		20					命之座	20			1000														5							
1114	2		20					命之座	20			1000														4							
1115	2		20					命之座	20			1000														4							
1116	2		30					命之座	20			1000														5							
1120	2		20					命之座	20			1000														4							
1121	2		20					命之座	20			1000														4							
1122	2		30					命之座	20			1000														5							
1123	2		20					命之座	20			1000														4							
1124	2		20					命之座	20			1000														4							
1125	2		20					命之座	20			1000														4							
1126	2		30					命之座	20			1000														5							
