活动id	活动类型	是否更新地形	条件组列表	watcher列表
1001	1	1	1	
5001	2		500101	1500101,1500102,1500103,1500104,1500105,1500106,1500107,1500108,1500109,1500110,1500111,1500112,1500113
5002	4			
5003	3		500301	
2001	1100		2001001	1200130,1200131,1200132
5004	8			
5005	2			
5006	9		500601	
5007	10		500701	1501001,1501002,1501003,1502001,1502002,1502003,1503001,1503002,1503003,1504001,1504002,1504003,1505001,1505002,1505003,1506001,1506002,1506003,1507001,1507002,1507003
3001	1200		3001001	
5008	8			
5009	8			
5010	8			
5011	1204		501101	
5012	1205		501201	
5014	1202		501401	
5015	8			
5016	1300		501601	
5017	1301		501701	
2002	1302		200201	1200212,1200213,1200216,1200217,1200250,1200253,1200254,1200211,1200218,1200219,1200223,1200226,1200255,1200256,1200251,1200257,1200224,1200225,1200221,1200229,1200233,1200258,1200252,1200259,1200236,1200237,1200238,1200239,1200240,1200241
6002	1501			
6003	1404		600301	
5018	8			
5019	1402		501901	1501901,1501902,1501903,1501904,1501905,1501906,1501907,1501908,1501909,1501910,1501911,1501912,1501913,1501914,1501915,1501916,1501917,1501918,1501919,1501920,1501921
2003	1400		2003001	1200311,1200312,1200313,1200314,1200315,1200316,1200317,1200318,1200319,1200320,1200321,1200322,1200323,1200324,1200325,1200326,1200327,1200328,1200329,1200330,1200331,1200332,1200333,1200334,1200335,1200336,1200337,1200338,1200339,1200340,1200341,1200342,1200343,1200344,1200345,1200346
5020	1403		502001	1502010
5021	1405			
