ID	[触发条件]类型	[触发条件]参数1	[触发条件]参数2	[触发条件]参数3	[触发条件]参数4	进度	已废弃	RewardID	是否直接发奖
1500101	421	1				1		490001	
1500102	421	1				5		490002	
1500103	421	1				10		490003	
1500104	421	1				20		490004	
1500105	423					10000		490009	
1500106	423					40000		490010	
1500107	423					80000		490011	
1500108	423					160000		490012	
1500109	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				5		490005	
1500110	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				10		490006	
1500111	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				30		490007	
1500112	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				100		490008	
1500113	429	720				1		490013	
1500501	421	1				1	1	490001	
1500502	421	1				5	1	490002	
1500503	421	1				10	1	490003	
1500504	421	1				20	1	490004	
1500505	423					10000	1	490009	
1500506	423					40000	1	490010	
1500507	423					80000	1	490011	
1500508	423					160000	1	490012	
1500509	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				5	1	490005	
1500510	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				10	1	490006	
1500511	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				30	1	490007	
1500512	422	305001001,133003549,133003550,133003554,133003555,133003556,133003557,133003568				100	1	490008	
1500513	429	720				1	1	490013	
1200101	116	302001005				7		3000001	
1200102	116	302001012				7		3000002	
1200103	116	302001013				7		3000003	
1200104	116	302001007				7		3000004	
1200105	116	302001014				7		3000005	
1200106	116	302001015				7		3000006	
1200107	116	302001008				10	1		
1200108	116	302001016				10	1		
1200109	116	302001017				10	1		
1200110	117	70950021				5		3000010	
1200111	117	70950021				10		3000011	
1200112	117	70950021				15		3000012	
1200113	117	70950021				20		3000013	
1200114	117	70950021				25		3000014	
1200115	117	70950021				30		3000015	
1200130	700	4111309				1			
1200131	117	70950021				14			
1200132	117	70330041				7			
1200201	700	4111309				1	1		
1200202	212	109				500	1		
1200203	212	110				500	1		
1200301	700	4111309				1	1		
1200302	212	109				500	1		
1200303	212	110				500	1		
1501001	316	133104761	120	3000		10000		3002011	
1501002	316	133104761	120	3000		20000		3002012	
1501003	316	133104761	120	3000		30000		3002013	
1502001	316	133103577	120	3000		10000		3002021	
1502002	316	133103577	120	3000		20000		3002022	
1502003	316	133103577	120	3000		30000		3002023	
1503001	316	133001435	120	3000		10000		3002031	
1503002	316	133001435	120	3000		20000		3002032	
1503003	316	133001435	120	3000		30000		3002033	
1504001	316	133104029	120	3000		10000		3002041	
1504002	316	133104029	120	3000		20000		3002042	
1504003	316	133104029	120	3000		30000		3002043	
