模块名称	类别	是否不限定产出来源	刷新类型	每日产出次数上限	历史产出次数上限	活动产出次数上限	允许产出道具数值用类型	允许产出道具ID列表	每日上限是否不报警
14	1		3						
22	1		1						
15	1		3						
16	1		3						
23	1		1						
17	1		3						
24	1		1						
18	1		3						
25	1		1						
19	1		3						
20	1		3						
27	1		1						
28	1		1	4					
29	1		1	1					
30	1		1	10					
31	1		1						
53	1		1						
37	1		1						
32	1		1	1000					1
33	1		1	200					1
36	1		1						
34	1		1						
35	1		1						
56	1		1						
58	1		1						
57	1		2						
88	1		1						
98	1		1						
26	1		1						
90	1		2						
59	1		1						
1406	1		1						
97	1		2						
85	1		1						
87	1		1						
3	2		3						
8	2		3						
7	2		3						
4	2		3						
5	2		3						
6	2		3						
44	2		2						
71	2		3						
11	2		3						
9	2		3						
10	2		3						
38	2		1						
13	2		2						
45	2		2						
55	2		1						
61	2		2						
72	2		3						
74	2		3						
68	2		3						
69	2		3						
93	2		3						
67	2		2						
73	2		3						
75	2		3						
77	2		3						
78	2		3						
82	2		3						
80	2		1						
81	2		1						
89	2		3						
1403	2		2						
12	2		2						
101	2		2			1			
84	2		2						
86	2		2						
1407	2		2						
62	2		2						
63	2		2						
94	2		2			8			
60	2		2						
76	2		2						
83	2		2						
91	2		2						
95	2		2						
99	2		2	20		60			
1402	2		2						
1404	2		2						
92	2		2						
39	3		1				采集物		
40	3		1				采集物;任务道具;元素神瞳		
42	3		1				任务道具;食谱;采集物;食材加工物	1021	
41	3		1						
47	3		1				角色;武器		
48	3		1				武器;圣遗物;体力;原石;摩拉;扭蛋券;角色;采集物;食材加工物;角色经验书;武器矿石;角色突破材料;天赋书;食物;食谱;合成产物;怪物材料;武器突破材料;海灯节材料;武器图纸;任务道具	911;912;913;914;915;916;917	
49	3		1				食物		
50	3		1				食材加工物	100061	
51	3		1				角色突破材料;天赋书;合成产物;怪物材料;武器突破材料;海灯节材料;采集物;食材加工物;任务道具		
52	3		1				武器;武器矿石;采集物		
54	3		1				武器;体力;天赋书;角色突破材料;武器突破材料		
46	3		2				原石;摩拉;扭蛋券;角色经验书;武器矿石;体力;食物;食谱		
43	3		1				摩拉	1014;1023	
64	3		3				月卡;战令;礼包币;原石		
65	3		2				礼包币;原石		
70	3		1				武器矿石;摩拉		
79	3		1				武器矿石		
96	3		1				体力		
1401	3		1				摩拉		
