ServerBuffID	ServerBuff类型	Ability名称	Modifier名称	持续时间
1	3	Atk_Dungeon	Atk_Dungeon_Ratio	1
2	3	Atk_Dungeon	Critical_Dungeon	1
3	3	Atk_Dungeon	PhyAdd_Dungeon_Delta	1
4	3	Atk_Dungeon	ElemMastery_Dungeon_Delta	1
5	3	Atk_Dungeon	ChargeEfficiency_Dungeon_Delta	1
6	3	Def_Dungeon	Def_Dungeon_Ratio	1
7	3	Def_Dungeon	MaxHP_Dungeon_Ratio	1
8	3	Def_Dungeon	Element_Dungeon_Def_Fire	3
9	3	Def_Dungeon	Element_Dungeon_Def_Water	3
10	3	Def_Dungeon	Element_Dungeon_Def_Ice	3
11	3	Def_Dungeon	Element_Dungeon_Def_Wind	3
12	3	Def_Dungeon	Element_Dungeon_Def_Elec	3
13	3	Def_Dungeon	Element_Dungeon_Def_Rock	3
14	3	Def_Dungeon	Element_Dungeon_Def_Grass	3
15	3	Def_Dungeon	Element_Dungeon_Def_All	3
16	3	Def_Dungeon	PhySub_Dungeon_Delta	3
17	3	Stamina_Sprint_Dungeon	Stamina_Sprint_Dungeon_1	3
18	3	MoveSpeed_Dungeon	MoveSpeed_Dungeon_1	3
19	3	ReHP_Ins&Con_Dungeon	ReHP_Ins&Con_Dungeon_1	2
20	3	Atk_Dungeon	Element_Art_Dungeon_Ratio	1
21	3	Atk_Dungeon	NormalAttack_Dungeon_Ratio	1
22	3	Support_Dungeon	Heal_Dungeon_Ratio	1
23	3	Atk_Dungeon	Elemental_Burst_Dungeon_Ratio	1
24	3	Atk_Dungeon	Sprint_Attack_Ratio	1
25	3	Atk_Dungeon	Atk_HighHP_Dungeon	3
26	3	Atk_Dungeon	Atk_LowHP_Dungeon	3
27	3	Atk_HitHeadBox_Dungeon	Atk_HitBox_Dungeon	1
28	3	Atk_Dungeon	AtkUp_DefDown_Dungeon	3
29	3	Def_Dungeon	Def_HighHP_Dungeon	3
30	3	Def_Dungeon	Def_LowHP_Dungeon	3
31	3	Support_Dungeon	KillHealHp_Dungeon_Ratio	3
32	3	Support_Dungeon	AttackSpeed_Dungeon	3
34	3	Support_Dungeon	UltimateSkillHealHp_Dungeon	3
35	3	Support_Dungeon	ResetCDWhenKill_Dungeon	3
36	3	Support_Dungeon	Stamina_ExtraAttack_Dungeon	3
38	3	Support_Dungeon	SkillCD_Dungeon_Ratio	3
