定制ID	对应圣遗物ID	定制等级	定制突破等级	定制主属性类别	定制追加属性ID
1	20002	1		12001	
2	20004	1		14001	
11	60211	5		15004	201053;201023
12	60221	5		12001	201063;201023
13	60231	5		13007	201053;201023
14	60241	5		14001	201053;201033
15	60251	5		10002	201053;201023
21	52311	9		15004	301053;301023;301203
22	52321	9		12001	301063;301023;301203
23	52331	9		13007	301053;301023;301243
24	52341	9		14001	301053;301033;301203
25	52351	9		10002	301053;301023;301203
26	57311	9		15004	301053;301023;301243
27	57321	9		12001	301243;301023;301203
28	57331	9		13007	301053;301023;301243
29	57341	9		14001	301053;301033;301243
30	57351	9		10008	301053;301023;301203
31	52312	13		15004	301053;301023;301203;301223;301053
32	52322	13		12001	301063;301023;301203;301223;301063
33	52332	13		13007	301053;301023;301243;301233;301053
34	52342	13		14001	301053;301033;301203;301223;301053
35	52352	13		10002	301053;301023;301203;301223;301053
41	52412	15		15004	401053;401023;401203;401223;401053
42	52422	15		12001	401063;401023;401203;401223;401063
43	52432	15		13007	401053;401023;401243;401233;401053
44	52442	15		14001	401053;401033;401203;401223;401053
45	52452	15		10002	401053;401023;401203;401223;401053
51	52413	15		15004	401053;401023;401203;401223;401053;401023
52	52423	15		12001	401063;401023;401203;401223;401063;401023
53	52433	15		13007	401053;401023;401243;401233;401053;401023
54	52443	15		14001	401053;401033;401203;401223;401053;401033
55	52453	15		10002	401053;401023;401203;401223;401053;401023
61	52413	17		15004	401053;401023;401203;401223;401053;401023;401203
62	52423	17		12001	401063;401023;401203;401223;401063;401023;401203
63	52433	17		13007	401053;401023;401243;401233;401053;401023;401243
64	52443	17		14001	401053;401033;401203;401223;401053;401033;401203
65	52453	17		10002	401053;401023;401203;401223;401053;401023;401203
71	81514	17		15004	501053;501023;501203;501223;501053;501023;501203;501223
72	81524	17		12001	501063;501023;501203;501223;501063;501023;501203;501223
73	81534	17		13007	501053;501023;501243;501233;501053;501023;501243;501233
74	81544	17		14001	501053;501093;501203;501233;501053;501093;501203;501233
75	81554	17		10002	501053;501023;501233;501223;501053;501023;501233;501223
81	81514	19		15004	501053;501023;501203;501223;501053;501023;501203;501223
82	81524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
83	81534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
84	81544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
85	81554	19		10002	501053;501023;501233;501223;501053;501023;501233;501223
91	81514	21		15004	501053;501023;501203;501223;501053;501023;501203;501223;501053
92	81524	21		12001	501063;501023;501203;501223;501063;501023;501203;501223;501063
93	81534	21		13007	501053;501023;501243;501233;501053;501023;501243;501233;501053
94	81544	21		14001	501053;501093;501203;501233;501053;501093;501203;501233;501053
95	81554	21		10002	501053;501023;501233;501223;501053;501023;501233;501223;501053
1001	80514	19		15008	501053;501033;501203;501223;501053;501033;501203;501223
1002	80524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1003	80534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1004	80544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1005	80554	19		10002	501053;501023;501233;501223;501053;501023;501233;501223
1011	76514	19		15012	501063;501023;501203;501223;501063;501023;501203;501223
1012	75524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1013	76534	19		13008	501053;501023;501243;501233;501053;501023;501243;501233
1014	75544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1015	76554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1021	76514	19		15012	501053;501033;501203;501223;501053;501033;501203;501223
1022	76524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1023	76534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1024	76544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1025	76554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1031	71514	19		15010	501063;501023;501203;501223;501063;501023;501203;501223
1032	71524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1033	71534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1034	71544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1035	71554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1041	82514	19		15015	501063;501023;501203;501223;501063;501023;501203;501223
1042	82524	19		12001	501063;501023;501203;501223;501063;501023;501203;501223
1043	82534	19		13007	501053;501023;501243;501233;501053;501023;501243;501233
1044	82544	19		14001	501053;501093;501203;501233;501053;501093;501203;501233
1045	82554	19		10004	501053;501023;501233;501223;501053;501023;501233;501223
1051	80514	19		15008	501063;501023;501203;501223;501063;501023;501203;501223
