ID	数据trigger类型	SceneID组	GroupID组
1	test1	3	133004471,133004004,133004002,133004005,133004009
2	uid	3	133004471,133004004,133004002,133004005,133004009
3	hunter_miss_none	3	133004471,133004004,133004002,133004005,133004009
4	hunter_miss_one	3	133004471,133004004,133004002,133004005,133004009
5	hunter_miss_two	3	133004471,133004004,133004002,133004005,133004009
6	hunter_miss_all	3	133004471,133004004,133004002,133004005,133004009
7	prey_alive_only	3	133004471,133004004,133004002,133004005,133004009
8	extra_skill_user	3	133004471,133004004,133004002,133004005,133004009
9	prey_alive_win	3	133004471,133004004,133004002,133004005,133004009
10	prey_dead_win	3	133004471,133004004,133004002,133004005,133004009
11	prey_dead_final	3	133004471,133004004,133004002,133004005,133004009
12	prey_dead_first	3	133004471,133004004,133004002,133004005,133004009
13	hunter_catch_by_guide	3	133004471,133004004,133004002,133004005,133004009
14	hunter_detect_prey	3	133004471,133004004,133004002,133004005,133004009
15	prey_win_without_skill	3	133004471,133004004,133004002,133004005,133004009
16	prey_cheat_hunter	3	133004471,133004004,133004002,133004005,133004009
17	player_get_energy	3	133004471,133004004,133004002,133004005,133004009
18	hunter_win_by_EX	3	133004471,133004004,133004002,133004005,133004009
19	hunter_win_in_time	3	133004471,133004004,133004002,133004005,133004009
20	prey_win_by_guide	3	133004471,133004004,133004002,133004005,133004009
21	prey_win_by_detect	3	133004471,133004004,133004002,133004005,133004009
22	prey_dead_second	3	133004471,133004004,133004002,133004005,133004009
23	hunter_catch_sum	3	133004471,133004004,133004002,133004005,133004009
24	Activity_BD_MaxScore	4	144003005
25	Activity_BD_ShooterDieCount	4	144003005
26	Activity_BD_PerfectCount7006	4	144003005
27	Activity_BD_SoilCount7006	4	144003005
28	Activity_BD_SpeedCount7006	4	144003005
29	Activity_BD_FeverCount	4	144003005
30	Activity_BD_PerfectCount7013	4	144003005
31	Activity_BD_IceCount7013	4	144003005
32	Activity_BD_NoFrozenCount7013	4	144003005
33	Activity_BD_AutoReturnCount	4	144003005
34	Activity_BD_PerfectCount7014	4	144003005
35	Activity_BD_CurveCount7014	4	144003005
36	Activity_BD_NoDirtyCount7014	4	144003005
37	Activity_BD_ShieldDieCount7014	4	144003005
38	Activity_BD_DamageValue	4	144003005
39	Activity_BD_PerfectValue	4	144003005
40	Activity_BD_NoSufferHit	4	144003005
41	Activity_BD_SpeedValue	4	144003005
42	Activity_BD_ShieldDestroy	4	144003005
43	Activity_BD_FeverDestroy	4	144003005
44	Activity_BD_FeverValue	4	144003005
45	Activity_BD_PepperCount	4	144003005
46	Activity_BD_SoilCount7013	4	144003005
47	Activity_BD_SoilCount7014	4	144003005
48	Activity_BD_SpeedCount7013	4	144003005
49	Activity_BD_SpeedCount7014	4	144003005
50	Activity_BD_IceCount7006	4	144003005
51	Activity_BD_IceCount7014	4	144003005
52	Activity_BD_NoFrozenCount7006	4	144003005
53	Activity_BD_NoFrozenCount7014	4	144003005
54	Activity_BD_CurveCount7006	4	144003005
55	Activity_BD_CurveCount7013	4	144003005
56	Activity_BD_NoDirtyCount7006	4	144003005
57	Activity_BD_NoDirtyCount7013	4	144003005
58	Activity_BD_ShieldDieCount7006	4	144003005
59	Activity_BD_ShieldDieCount7013	4	144003005
60	SLC_RoleElectricBomb_MultiAttack	3	133212195,133213186,133213074,133213184,133209038,133209026,133220413,133220204,133220194,133213178
61	SLC_RoleElectricBomb_AttackSum	3	133212195,133213186,133213074,133213184,133209038,133209026,133220413,133220204,133220194,133213178
62	SLC_RoleElectricPowerSource_MultiConnect	3	133212193,133213084,133213177,133220405,133209035,133220205,133220173,133220193,133213183
63	SLC_RoleElectricPowerSource_AttackSum	3	133212193,133213084,133213177,133220405,133209035,133220205,133220173,133220193,133213183
64	SLC_Activity_BlitzRush_WeakTrigger	46001	246001001
65	SLC_Activity_BlitzRush_Enhanced_Killed	46001	246001001
66	SLC_Activity_BlitzRush_AttackTagTrigger	46001	246001001
67	SLC_RoleElectricBomb_AttackSum_S4	46001	246001001
68	SLC_RoleElectricPowerSource_AttackSum_S4	46001	246001001
69	MoonlitCamp_HavePlayed	3	133104288,133104297,133104295,133104306,133104296,133104308,133108187,133108190,133108188,133108191,133108189,133001043,133001044,133001047,133001045,133001049,133003038,133003041,133003039,133003042,133003040,133003048,133008210,133008578,133008586,133008654,133008659,133008660
70	Activity_PursinaChallenge_watcher_1	3	133225009
71	Activity_PursinaChallenge_watcher_2	3	133225009
72	Activity_PursinaChallenge_watcher_3	3	133225009
73	Activity_PursinaChallenge_watcher_4	3	133225009
74	Activity_PursinaChallenge_watcher_5	3	133225009
75	Activity_PursinaChallenge_watcher_6	3	133225009
76	Activity_Pursina_Group_133007088	3	133007088
77	Activity_Pursina_Group_133106029	3	133106029
78	Activity_Pursina_Group_133105052	3	133105052
79	Activity_Pursina_Group_133212585	3	133212585
80	Activity_Pursina_Group_133008669	3	133008669
81	Activity_Pursina_Group_133108194	3	133108194
82	Activity_Pursina_Group_133007082	3	133007082
83	Activity_Pursina_Group_133105048	3	133105048
84	Activity_Pursina_Group_133106028	3	133106028
85	Activity_Pursina_Group_133212576	3	133212576
86	Activity_Pursina_Group_133008668	3	133008668
87	Activity_Pursina_Group_133108193	3	133108193
88	Activity_Pursina_Group_133223271	3	133223271
