ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	家具ID	名称$text_name_FurnitureName	GadgetID1	GadgetID2	GadgetID3	类型ID1	类型ID2	可配置表面	限制摆放数	特殊家具类型	室内场景ID	舒适度	堆叠上限	Cost	打折Cost	阶数
360001	6				0				200101	(test)墙面1	70910050	70910052	70910054			7		1		1	0	0	0	1
360002	6				0				200102	(test)墙面2	70910051	70910053	70910055			7		1		1	0	0	0	1
360003	6				0				200201	(test)地板1	70910048					6		1		1	0	0	0	1
360004	6				0				200202	(test)地板2	70910049					6		1		1	0	0	0	1
360005	6				0				200301	(test)天花板1	70910044					2		1		1	0	0	0	1
360006	6				0				200302	(test)天花板2	70910045					2		1		1	0	0	0	1
360007	6				0				200401	(test)吊灯1	70910058					5		1		1	0	0	0	1
360008	6				0				200402	(test)吊灯2	70910059					5		1		1	0	0	0	1
373100	6				0				700139	(test)测试用烧烤炉	70310014					0				1	0	0	0	1
369101	6		2900		0			成品家具	900101	(test)家园翠目猫	77303005			9002	9001	12				100	9999	500	500	3
369102	6		2900		0			成品家具	900102	(test)家园北地犬	77303004			9002	9001	12				100	9999	500	500	3
369103	6		2900		0			成品家具	900103	(test)野猪1号	77303001			9002		12				100	9999	500	500	3
369104	6		2900		0			成品家具	900104	(test)仙鹤1号	77303003			9002		12				100	9999	500	500	3
369105	6		2900		0			成品家具	900105	(test)家园巡林犬	77303009			9002	9001	12				100	9999	500	500	3
369106	6		2900		0			成品家具	900106	(test)家园柴犬	77303010			9002	9001	12				100	9999	500	500	3
369107	6		2900		0			成品家具	900107	(test)家园黑背猎犬	77303011			9002	9001	12				100	9999	500	500	3
369108	6		2900		0			成品家具	900108	(test)家园北地猫	77303006			9002	9001	12				100	9999	500	500	3
369109	6		2900		0			成品家具	900109	(test)家园虎纹猫	77303007			9002	9001	12				100	9999	500	500	3
369110	6		2900		0			成品家具	900110	(test)家园警长猫	77303008			9002	9001	12				100	9999	500	500	3
368101	6				0			成品家具	10000003	(test)枫原万叶	77015009			8001	8002	11		5		300	9999	1200	1200	1
368102	6				0			成品家具	10000006	(test)烟绯	77015009			8001	8002	11		5		300	9999	1200	1200	1
368103	6				0			成品家具	10000014	(test)优菈	77015009			8001	8002	11		5		300	9999	1200	1200	1
368104	6				0			成品家具	10000015	(test)琴	77015009			8001	8002	11		5		300	9999	1200	1200	1
368105	6				0			成品家具	10000016	(test)丽莎	77015009			8001	8002	11		5		300	9999	1200	1200	1
368106	6				0			成品家具	10000020	(test)芭芭拉	77015009			8001	8002	11		5		300	9999	1200	1200	1
368107	6				0			成品家具	10000021	(test)凯亚	77015009			8001	8002	11		5		300	9999	1200	1200	1
368108	6				0			成品家具	10000022	(test)迪卢克	77015009			8001	8002	11		5		300	9999	1200	1200	1
368109	6				0			成品家具	10000023	(test)雷泽	77015009			8001	8002	11		5		300	9999	1200	1200	1
368110	6				0			成品家具	10000025	(test)安柏	77015009			8001	8002	11		5		300	9999	1200	1200	1
368111	6				0			成品家具	10000026	(test)温迪	77015009			8001	8002	11		5		300	9999	1200	1200	1
368112	6				0			成品家具	10000027	(test)香菱	77015009			8001	8002	11		5		300	9999	1200	1200	1
368113	6				0			成品家具	10000029	(test)北斗	77015009			8001	8002	11		5		300	9999	1200	1200	1
368114	6				0			成品家具	10000030	(test)行秋	77015009			8001	8002	11		5		300	9999	1200	1200	1
368115	6				0			成品家具	10000031	(test)魈	77015009			8001	8002	11		5		300	9999	1200	1200	1
368116	6				0			成品家具	10000032	(test)凝光	77015009			8001	8002	11		5		300	9999	1200	1200	1
368117	6				0			成品家具	10000033	(test)可莉	77015009			8001	8002	11		5		300	9999	1200	1200	1
368118	6				0			成品家具	10000035	(test)钟离	77015009			8001	8002	11		5		300	9999	1200	1200	1
368119	6				0			成品家具	10000036	(test)菲谢尔	77015009			8001	8002	11		5		300	9999	1200	1200	1
368120	6				0			成品家具	10000037	(test)班尼特	77015009			8001	8002	11		5		300	9999	1200	1200	1
368121	6				0			成品家具	10000038	(test)达达利亚	77015009			8001	8002	11		5		300	9999	1200	1200	1
368122	6				0			成品家具	10000041	(test)诺艾尔	77015009			8001	8002	11		5		300	9999	1200	1200	1
368123	6				0			成品家具	10000042	(test)七七	77015009			8001	8002	11		5		300	9999	1200	1200	1
368124	6				0			成品家具	10000043	(test)重云	77015009			8001	8002	11		5		300	9999	1200	1200	1
368125	6				0			成品家具	10000044	(test)甘雨	77015009			8001	8002	11		5		300	9999	1200	1200	1
368126	6				0			成品家具	10000045	(test)阿贝多	77015009			8001	8002	11		5		300	9999	1200	1200	1
368127	6				0			成品家具	10000046	(test)迪奥娜	77015009			8001	8002	11		5		300	9999	1200	1200	1
368128	6				0			成品家具	10000047	(test)莫娜	77015009			8001	8002	11		5		300	9999	1200	1200	1
368129	6				0			成品家具	10000048	(test)刻晴	77015009			8001	8002	11		5		300	9999	1200	1200	1
368130	6				0			成品家具	10000049	(test)砂糖	77015009			8001	8002	11		5		300	9999	1200	1200	1
368131	6				0			成品家具	10000050	(test)辛焱	77015009			8001	8002	11		5		300	9999	1200	1200	1
368132	6				0			成品家具	10000051	(test)罗莎莉亚	77015009			8001	8002	11		5		300	9999	1200	1200	1
368133	6				0			成品家具	10000052	(test)胡桃	77015009			8001	8002	11		5		300	9999	1200	1200	1
368135	6				0			成品家具		(test)宵宫	77015009			8001	8002	11		5		300	9999	1200	1200	1
368136	6				0			成品家具		(test)早柚	77015009			8001	8002	11		5		300	9999	1200	1200	1
368137	6				0			成品家具		(test)神里	77015009			8001	8002	11		5		300	9999	1200	1200	1
368138	6				0			成品家具			77015009			8001	8002	11		5		300	9999	1200	1200	1
368139	6				0			成品家具			77015009			8001	8002	11		5		300	9999	1200	1200	1
368140	6				0			成品家具			77015009			8001	8002	11		5		300	9999	1200	1200	1
368141	6				0			成品家具			77015009			8001	8002	11		5		300	9999	1200	1200	1
368142	6				0			成品家具			77015009			8001	8002	11		5		300	9999	1200	1200	1
360101	6		200		0			成品家具	100101	(test)璃月墙				1001		7		1		30	9999	0	0	3
360102	6		200		0			成品家具	100102	(test)蒙德墙				1001		7		1		30	9999	0	0	3
360201	6		300		0			成品家具	100201	(test)璃月地板				1002		6		1		30	9999	0	0	3
360202	6		300		0			成品家具	100202	(test)蒙德地板				1002		6		1		30	9999	0	0	3
360301	6		400		0			成品家具	100301	(test)璃月天花板				1003		2		1		30	9999	0	0	3
360302	6		400		0			成品家具	100302	(test)蒙德天花板				1003		2		1		30	9999	0	0	3
360401	6		500		0			成品家具	100401	(test)满是蜡烛的吊灯	77108001			1004		5		1		60	9999	305	305	3
360402	6		500		0			成品家具	100402	(test)中国风吊灯	77108007			1004		5		1		60	9999	220	220	3
360403	6		500		0			成品家具	100403	(test)中国风尖的吊灯	77108008			1004		5		1		60	9999	220	220	3
360404	6		500		0			成品家具	100404	(test)南瓜灯	77108002			1004		5		1		60	9999	305	305	3
360405	6		500		0			成品家具	100405	(test)中式华丽大吊灯	77108010			1004		5		1		90	9999	220	220	4
364301	6		600		0			成品家具	500401	(test)璃月房间门01	77101053			1005		4		1		30	9999	0	0	3
364302	6		600		0			成品家具	500402	(test)蒙德房间门01	77101054			1005		4		1		30	9999	0	0	3
364401	6		700		0			成品家具	500403	(test)璃月房间楼梯				1006		10		1		30	9999	0	0	3
364402	6		700		0			成品家具	500404	(test)蒙德房间楼梯				1006		10		1		30	9999	0	0	3
372101	6		1600		0			成品家具	1000101	(test)高大的乐高	77002001			10001		9				20	9999	50	25	3
372102	6		1600		0			成品家具	1000102	(test)高的长方形乐高	77002002			10001		9				20	9999	50	25	3
372103	6		1600		0			成品家具	1000103	(test)高的正方形乐高	77002003			10001		9				20	9999	50	25	3
372104	6		1600		0			成品家具	1000104	(test)矮的大型乐高	77002004			10001		9				20	9999	50	25	3
372105	6		1600		0			成品家具	1000105	(test)矮的长方形乐高	77002005			10001		9				20	9999	50	25	3
372106	6		1600		0			成品家具	1000106	(test)矮的正方形乐高	77002006			10001		9				20	9999	50	25	3
361301	6		3200		0			成品家具	300301	(test)欧式木质桌子	77103001			3003		0				60	9999	169	127	3
361302	6		3200		0			成品家具	300302	(test)骑士团的长桌子	77103002			3003		0				60	9999	254	191	3
361303	6		3200		0			成品家具	300303	(test)骑士团的长桌子	77103003			3003		0				60	9999	254	191	3
361101	6		4100		0			成品家具	300101	(test)货柜	77103004			3005		0				60	9999	85	64	3
361304	6		3200		0			成品家具	300304	(test)大型炉灶	77103005			3003		0				90	9999	558	176	4
361305	6		3200		0			成品家具	300305	(test)做饭的炉子	77103006			3003		0				60	9999	558	85	3
361306	6		3200		0			成品家具	300306	(test)花花绿绿的桌子	77103007			3003		0				60	9999	169	127	3
361307	6		3200		0			成品家具	300307	(test)室外的招待餐桌	77103008			3003		0				30	9999	85	64	2
361308	6		3200		0			成品家具	300308	(test)中式书法桌	77103009			3003		0				60	9999	85	64	3
361309	6		3200		0			成品家具	300309	(test)中式饮茶桌	77103010			3003		0				60	9999	85	64	3
361501	6		4100		0			成品家具	300501	(test)中式掌柜台	77103011			3005		0				60	9999	101	76	3
361310	6		3200		0			成品家具	300310	(test)红木桌子	77103012			3003		0				60	9999	85	64	3
362201	6		2400		0			成品家具	400201	(test)欧式的火炉	77104001			4002		0				60	9999	727	254	3
363301	6		4800		0			成品家具	1100201	(test)竖琴	77104002			11002		3				60	9999	85	64	3
364201	6		2400		0			成品家具	500301	(test)餐厅招牌	77104003			4002		0				30	9999	85	64	2
362202	6		2400		0			成品家具	400202	(test)乘风破浪屏风	77104004			4002		0				90	9999	85	64	4
362203	6		2400		0			成品家具	400203	(test)很高的木质屏风	77104005			4002		0				90	9999	254	191	4
362101	6		3100		0			成品家具	400101	(test)唯一一个沙发	77105001			4001		0				90	9999	169	127	4
362102	6		3100		0			成品家具	400102	(test)蓝色的欧洲椅子	77105002			4001		0				60	9999	85	64	3
362103	6		3100		0			成品家具	400103	(test)骑士团铁椅	77105003			4001		0				60	9999	169	127	3
362104	6		3100		0			成品家具	400104	(test)室外餐桌的椅子	77105004			4001		0				30	9999	85	64	2
362105	6		3100		0			成品家具	400105	(test)中式茶桌的椅子	77105005			4001		0				60	9999	85	64	3
362106	6		3100		0			成品家具	400106	(test)红木桌子配套椅子	77105006			4001		0				60	9999	85	64	3
364202	6		5000		0			成品家具	500302	(test)发光的烛灯	77108003			5005		1				60	9999	169	127	3
363101	6		2500		0			成品家具	1100202	(test)放桌上发光的灯	77108004			11003		3				60	9999	85	64	3
363102	6		2500		0			成品家具	1100203	(test)中式床头灯	77108005			11003		3				60	9999	220	199	3
363103	6		2500		0			成品家具	1100204	(test)中式小摆灯	77108006			11003		3				60	9999	220	199	3
361311	6		3200		0			成品家具	300311	(test)放着瓶瓶罐罐的梳妆台	77110001			3003		0				60	9999	85	64	3
361201	6		3900		0			成品家具	300201	(test)放着很多书的书架	77110002			3002		0				90	9999	254	191	4
361202	6		3900		0			成品家具	300202	(test)书有点少的书架	77110003			3002		0				90	9999	169	127	4
361203	6		3900		0			成品家具	300203	(test)有些大的书柜	77110004			3002		0				90	9999	169	127	4
361204	6		3900		0			成品家具	300204	(test)大时钟	77110005			3002		0				90	9999	270	203	4
361205	6		3900		0			成品家具	300205	(test)放满了书的书柜	77110006			3002		0				90	9999	169	127	4
361102	6		3300		0			成品家具	300102	(test)放着杂物的货架	77110007			3001		0				60	9999	254	191	3
361103	6		3300		0			成品家具	300103	(test)放着食物的货架	77110008			3001		0				60	9999	338	254	3
361104	6		3300		0			成品家具	300104	(test)放着瓶子的橱柜	77110009			3001		0				60	9999	85	64	3
361206	6		3900		0			成品家具	300206	(test)中式卷轴书柜	77110010			3002		0				60	9999	196	147	3
361207	6		3900		0			成品家具	300207	(test)卷轴花瓶大书柜	77110011			3002		0				60	9999	201	151	3
361208	6		3900		0			成品家具	300208	(test)中式没那么大的书柜	77110012			3002		0				60	9999	85	64	3
362301	6		4500		0			成品家具	400401	(test)骑士团样子的地毯	77111001			4004		8				60	9999	85	64	3
362302	6		4500		0			成品家具	400402	(test)欧式地毯	77111002			4004		8				60	9999	85	64	3
362303	6		4500		0			成品家具	400403	(test)圆形蓝色地毯	77111003			4004		8				60	9999	85	64	3
362304	6		4500		0			成品家具	400404	(test)长方形红色地毯	77111004			4004		8				60	9999	85	64	3
364203	6		5000		0			成品家具	500303	(test)圆形的木质盾牌	77112001			5005		1				30	9999	85	64	2
364204	6		5000		0			成品家具	500304	(test)有棱角的木质盾牌	77112002			5005		1				30	9999	85	64	2
364205	6		5000		0			成品家具	500305	(test)特制的宝剑	77112003			5005		1				30	9999	85	64	2
