配置ID	消耗品ID	消耗品数量	执行类型	执行参数1	执行参数2	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	客机能否交互	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	消耗道具4ID	消耗道具4数量	消耗道具5ID	消耗道具5数量	[交互条件]1类型	[交互条件]1参数1	[交互条件]1参数2	[交互条件]2类型	[交互条件]2参数1	[交互条件]2参数2	[交互条件]组合
1	100001	1	1	201		1	201						100001	1															
2	107006	1	1	201		1	201						107006	1															
3	107007	1	1	201		1	201						107007	1															
4	100526	1	1	901		1	901						100526	1															
5	100527	1	1	201		1	201						100527	1															
6	100528	1	1	201		1	201						100528	1															
7	100533	1	1	201		1	201						100533	1															
8	108088	1	1	201		1	201						108088	1															
9	108094	1	1	201		1	201						108094	1															
10	108091	1	1	201		1	201						108091	1															
11	100604	1	1	201		1	201						100604	1															
12	100064	1	1	201		1	201						100064	1															
13	100630	1	1	201		1	201						100630	1															
14	100620	1	1	201		1	201						100620	1	100621	1	100622	1											
15	100051	2	1	201		1	201						100051	2															
16	100057	1	1	201		1	201						100057	1															
17	100024	1	1	201		1	201						100024	1															
18	100023	1	1	201		1	201						100023	1															
19	100055	1	1	201		1	201						100055	1															
20	100012	1	1	201		1	201						100012	1															
21	100021	1	1	201		1	201						100021	1															
22	100768	1	1	201		1	201						100768	1															
23	100769	1	1	201		1	201						100769	1															
24	100770	1	1	201		1	201						100770	1															
25	100771	1	1	201		1	201						100771	1															
26	100772	1	1	201		1	201						100772	1															
27	100774	1	1	201		1	201						100774	1															
28	100775	1	1	201		1	201						100775	1															
29	100776	1	1	201		1	201						100776	1															
30	100777	1	1	201		1	201						100777	1															
31	100778	1	1	201		1	201						100778	1															
32	100820	1	1	201		1	201						100820	1	100821	1	100822	1											
33	100866	1	1	201		1	201						100866	1															
34	100867	1	1	201		1	201						100867	1															
35			1	201		1	201		2			1																	
36	100880	1	1	201		1	201						100880	1															
37	100881	1	1	201		1	201						100881	1															
38	100823	1	1	201		1	201						100823	1															
39	100824	1	1	201		1	201						100824	1															
40	100825	1	1	201		1	201						100825	1															
41	100819	1	1	201		1	201						100819	1															
42	107008	1	1	201		1	201						107008	1															
43			1	201		1	201																						
44	100946	1	1	201		1	201						100946	1	100947	1	100948	1											
45	100864	1	1	201		1	201						100864	1															
46	100976	1	1	201		1	201						100976	1															
47	100977	1	1	201		1	201						100977	1															
48	100985	1	1	201		1	201						100985	1															
49	100084	1	1	201		1	201						100084	1															
50	108320	1	1	201		1	201						108320	1															
52	101583	1	1	201		1	201						101583	1															
53	101584	1	1	201		1	201						101584	1															
54	101585	1	1	201		1	201						101585	1															
55	101574	1	1	201		1	201						101574	1															
66	101592	1	1	201		1	201						101592	1															
67	101600	1	1	201		1	201						101600	1															
68	101602	1	1	201		1	201						101602	1															
69	101603	1	1	201		1	201						101603	1															
