索引id	类型	参数1	参数2	参数3	参数4	单机是否需要预准备	单机预准备时长	联机是否需要预准备	联机预准备时长	是否能够主动中断	SceneID	控制GroupID	GroupID	复活点GroupID	复活点ConfigID	ability_group	ability_group列表	玩法限时	可选ability_groups	TeamAbilityGroup	team可选ability_groups
1001	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0		1	3	133003788	133003788	133003795	795002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	150			
1003	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0		1	3	133003789	133003789	133003796	796002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	150			
1004	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0		1	3	133002479	133002479	133002493	493002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	150			
1005	1	70350172:0,70350173:20,70350174:100,70350175:-50	3	1:1.2,5:1.5		1	10	0		1	3	133004460	133004460	133004475	475002	ActivityAbility_WindFlora_BalloonShoot	ActivityAbility_WindFlora_BalloonShoot	180			
2001	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0		1	3	133001591	133001591,133001592,133001593,133001594,133001595,133001596,133001598	133001591	591017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	150			
2002	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0		1	3	133001585	133001585,133001586,133001587,133001588,133001589,133001590,133001597	133001585	585017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	160			
2003	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0		1	3	133004465	133004465,133004466,133004467,133004468,133004469,133004470,133004473	133004465	465017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	140			
2004	2	70360137:35,70360138:200,70360139:400	70360139	10		1	10	0		1	3	133004453	133004453,133004454,133004455,133004456,133004457,133004458,133004472	133004453	453017	ActivityAbility_FleurFair_FlyBall	ActivityAbility_FleurFair_FlyBall	140			
5001	3					0		0		0	3										
5002	3					0		0		0	3	133209014	133209007				DynamicAbility_ArenaChallenge2_FallingDamage_Aoe				
5003	3					0		0		0	3	133209014	133209008								
5004	3					0		0		0	3	133209014	133209009								
5005	3					0		0		0	3	133209014	133209010								
5006	3					0		0		0	3	133209014	133209011				DynamicAbility_ArenaChallenge2_TriggerAoeAfterULT				
5007	3					0		0		0	3	133209014	133209012				DynamicAbility_ArenaChallenge2_AtkSpeedAndCDdec,DynamicAbility_ArenaChallenge2_AtkTiggerAoe				
5008	3					0		0		0	3	133209014	133209013				DynamicAbility_ArenaChallenge2_KillMonster				
5009	3					0		0		0	3	133209014	133209007				DynamicAbility_ArenaChallenge2_FallingDamage_Aoe				
5010	3					0		0		0	3	133209014	133209008				DynamicAbility_ArenaChallenge2_KillMonsterThunder				
5011	3					0		0		0	3	133209014	133209009								
5012	3					0		0		0	3	133209014	133209010								
5013	3					0		0		0	3	133209014	133209011				DynamicAbility_ArenaChallenge2_TriggerAoeAfterULT_Challenge				
5014	3					0		0		0	3	133209014	133209012				DynamicAbility_ArenaChallenge2_AtkSpeedAndCDdec,DynamicAbility_ArenaChallenge2_AtkTiggerAoe				
5015	3					0		0		0	3	133209014	133209013				DynamicAbility_ArenaChallenge2_KillMonster				
6001	5					0		0		0	35800	235800006	235800006			ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63			
6002	4	200	1:1;2:1.2;3:1.4;4:1.6			0		0		0	35800	235800005	235800005			ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	93			
6003	7					0		0		0	35800	235800002	235800002			ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63			
6004	4	150	1:1;2:1.2;3:1.4;4:1.6			0		0		0	35800	235800004	235800004			ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63			
6005	8					0		0		0	35800	235800009	235800009			ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63			
6006	9					0		0		0	35800	235800010	235800010			ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63			
6007	9					0		0		0	35800	235800011	235800011			ActivityAbility_WindFlora_Wudi	ActivityAbility_WindFlora_Wudi	63			
6008	10					0		0		0	35800	235800003	235800003			ActivityAbility_WindFlora_RecordFloorMemory	ActivityAbility_WindFlora_RecordFloorMemory	93			
7001	12										3					HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData		HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp		
7002	12										3					HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData		HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp		
7003	12										3					HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData		HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp		
7004	12										3					HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData		HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp		
7005	12										3					HideSeek_AllPlayer_InitData	HideSeek_AllPlayer_InitData		HideSeek_Seeker,HideSeek_Seeker_ElementalArt_Guide,HideSeek_Seeker_ElementalArt_Detect,HideSeek_Seeker_ElementalBurst_UltraMark,HideSeek_Seeker_ElementalBurst_GlobalSight,HideSeek_Seeker_ElementalBurst_SuperPrison,HideSeek_Hider,HideSeek_Hider_ElementalArt_Invisibility,HideSeek_Hider_ElementalArt_PlaceBait,HideSeek_Hider_ElementalBurst_SpeedUp		
7006	14					0		0		1	4	144003005		144003005	5042	AbilityGroup_LudiHarpastum_Set_01	ActivityAbility_LudiHarpastum_Hit,ActivityAbility_LudiHarpastum_Hit_Camera	180			
7007	11										43001								ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy		
7008	11										43002								ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy		
7009	11										43003								ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy		
7010	11										43004								ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy		
7011	11										43005								ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy		
7012	11										43006								ActivityAbility_SuperTrial_RandomRoomRevive,ActivityAbility_SuperTrial_RandomRoomAttackUp,ActivityAbility_SuperTrial_RandomRoomSpeedUp,ActivityAbility_SuperTrial_RandomRoomRevive_Copy,ActivityAbility_SuperTrial_RandomRoomAttackUp_Copy,ActivityAbility_SuperTrial_RandomRoomSpeedUp_Copy		
7013	14					0		0		1	4	144003005		144003005	5042	AbilityGroup_LudiHarpastum_Set_01	ActivityAbility_LudiHarpastum_Hit,ActivityAbility_LudiHarpastum_Hit_Camera	180			
7014	14					0		0		1	4	144003005		144003005	5042	AbilityGroup_LudiHarpastum_Set_01	ActivityAbility_LudiHarpastum_Hit,ActivityAbility_LudiHarpastum_Hit_Camera	180			
8001	13	25010301:15,25010401:15,25010201:15,25010701:15,25060101:15	25010501:38,25030301:38,25070101:38	44,64,84	1,2,3	0		0		1	4	144004004						210	ActivityAbility_BuoyantCombat_GatherBase,ActivityAbility_BuoyantCombat_GatherLv1,ActivityAbility_BuoyantCombat_GatherLv2,ActivityAbility_BuoyantCombat_GatherLv3		
8002	13	20011201:12,21010501:12,20011301:12,21010201:12,21010601:12	26010201:50,21020201:50,22010101:50	44,64,84	1,2,3	0		0		1	4	144001064						210	ActivityAbility_BuoyantCombat_WaterBase,ActivityAbility_BuoyantCombat_WaterLv1,ActivityAbility_BuoyantCombat_WaterLv2,ActivityAbility_BuoyantCombat_WaterLv3		
8003	13	24010101:55	24010301:125	44,64,84	1,2,3	0		0		1	4	144004008						210	ActivityAbility_BuoyantCombat_CriticalBase,ActivityAbility_BuoyantCombat_CriticalLv1,ActivityAbility_BuoyantCombat_CriticalLv2,ActivityAbility_BuoyantCombat_CriticalLv3		
8004	13	20010501:15,20010601:15,21010201:15,21010901:15,21011001:15,21030101:15,21020201:15,25010201:15,25060101:15,25010701:15	20010701:60,22010301:60,25070101:60	44,64,84	1,2,3	0		0		1	4	144001107						210	ActivityAbility_BuoyantCombat_IceBase,ActivityAbility_BuoyantCombat_IceLv1,ActivityAbility_BuoyantCombat_IceLv2,ActivityAbility_BuoyantCombat_IceLv3		
8005	13	20010801:12,20010901:12,21011301:12,21011401:12,21010301:12,21010901:12,21030501:12	26010101:36,21020601:36,22010201:36	44,64,84	1,2,3	0		0		1	4	144003031						210	ActivityAbility_BuoyantCombat_FireBase,ActivityAbility_BuoyantCombat_FireLv1,ActivityAbility_BuoyantCombat_FireLv2,ActivityAbility_BuoyantCombat_FireLv3		
8006	13	20010501:10,20010801:10,20011001:10,20011201:10,20011301:10,20011101:10,20010901:10,20010601:10	21020201:32,22010101:32,22010201:32	44,64,84	1,2,3	0		0		1	4	144002066						210	ActivityAbility_BuoyantCombat_WindBase,ActivityAbility_BuoyantCombat_WindLv1,ActivityAbility_BuoyantCombat_WindLv2,ActivityAbility_BuoyantCombat_WindLv3		
8007	13	20011001:15,20011201:15,20011501:15,20011301:15,21010201:15,21011201:15,21010401:15,21010901:15,21010501:15,21011001:15,21030401:15	21020201:40,21020301:40	44,64,84	1,2,3	0		0		1	4	144002067						210	ActivityAbility_BuoyantCombat_ShieldBase,ActivityAbility_BuoyantCombat_ShieldLv1,ActivityAbility_BuoyantCombat_ShieldLv2,ActivityAbility_BuoyantCombat_ShieldLv3		
9001	15										3										
10001	16	25010201:15,25030201:15,25020201:15,25010301:15,25010501:15	25080101:40,25100201:60,25100101:60			0		0		1	35801	235801002					DynamicAbility_Activity_Sumo_Fever	240		Ability_Activity_Sumo_DamageDown	
10002	16	21010601:8,21010701:8,21010901:10,21010201:8,21030501:10,21011301:10	21020101:45,21020601:45,21020401:55			0		0		1	35802	235802002					DynamicAbility_Activity_Sumo_Fever	240		Ability_Activity_Sumo_DamageDown	
10003	16	20010501:7,20010801:7,20011201:7,20011001:7	20010601:40,20011301:40,20011101:40			0		0		1	35803	235803002					DynamicAbility_Activity_Sumo_Fever	240		Ability_Activity_Sumo_DamageDown	
10004	16	21030601:8,21010501:8,21011001:8,21010701:8,21010201:8	21020201:45,21020701:45,21020801:55			0		0		1	35804	235804002					DynamicAbility_Activity_Sumo_Fever	240		Ability_Activity_Sumo_DamageDown	
10005	16	21010201:8,21030101:8	21020201:45			0		0		1	35805	235805002					DynamicAbility_Activity_Sumo_Fever	240		Ability_Activity_Sumo_DamageDown	
10006	16	21020201:25,21010501:8,21010701:8,21010201:8	24010101:55,24010201:65,24010301:75			0		0		1	35806	235806002					DynamicAbility_Activity_Sumo_Fever	240		Ability_Activity_Sumo_DamageDown	
11001	17					0		0		1	3	133104269						180			
11002	17					0		0		1	3	133105044						120			
11003	17					0		0		1	3	133001050						180			
11004	17					0		0		1	3	133213494						120			
11005	17					0		0		1	3	133212532						180			
12001	18					0		0		1	1	111101191						180			
12002	18					0		0		1	3	133007088		133007088	88059			180			
12003	18					0		0		1	3	133105052		133105052	52059			180			
12004	18					0		0		1	3	133106029		133106029	29059			180			
12005	18					0		0		1	3	133212585		133212585	585059			180			
12006	18					0		0		1	3	133008669		133008669	669063			180			
12007	18					0		0		1	3	133108194		133108194	194058			180			
12008	18					0		0		1	3	133225009		133225009	9071			360			
