SetBundleListID	LinkType	GroupList	提示Group	提示半径	领奖方式	掉落组ID	动态等级ID	默认Activate
20070101	0	133104288	133104288	70	1	200701	20	1
20070102	0	133104297,133104295	133104295	70	1	200702	20	1
20070103	0	133104306,133104296	133104296	70	1	200703	20	1
20070104	0	133104308,133108187	133108187	70	1	200704	20	1
20070105	0	133108190,133108188	133108188	70	1	200705	20	1
20070106	0	133108191,133108189	133108189	70	1	200706	20	1
20070201	0	133001043	133001043	60	1	200707	21	1
20070202	0	133001044,133001047	133001047	60	1	200708	21	1
20070203	0	133001045,133001049	133001049	60	1	200709	21	1
20070204	0	133003038,133003041	133003041	60	1	200710	21	1
20070205	0	133003039,133003042	133003042	60	1	200711	21	1
20070206	0	133003040,133003048	133003048	60	1	200712	21	1
20070301	0	133008210	133008210	60	1	200713	22	1
20070302	0	133008586,133002045	133008586	60	1	200714	22	1
20070303	0	133008578,133002048	133008578	60	1	200715	22	1
20070304	0	133008654,133002049	133008654	60	1	200716	22	1
20070305	0	133008659,133002050	133008659	60	1	200717	22	1
20070306	0	133008660,133002052	133008660	60	1	200718	22	1
50490001	0	133225015	133225015	0	1			1
50490101	0	133007082	133007082	50	1	200719		1
50490102	0	133105048	133105048	50	1	200720		1
50490103	0	133106028	133106028	50	1	200721		1
50490104	0	133212576	133212576	50	1	200722		1
50490201	0	133007088	133007088	0	1			1
50490202	0	133105052	133105052	0	1			1
50490203	0	133106029	133106029	0	1			1
50490204	0	133212585	133212585	0	1			1
50490301	0	133225009	133225009	0	1			1
50490302	0	133223271	133223271	0	1			1
50490401	0	133008668	133008668	50	1			1
50490402	0	133008669	133008669	0	1			1
50490403	0	133108193	133108193	50	1			1
50490404	0	133108194	133108194	0	1			1
