家具ID	怪物ID	是否复生	复生CD
369101	28220502	1	5
369102	28220401	1	5
369103	28220301	1	5
369104	28230101	1	5
369105	28220402	1	5
369106	28220403	1	5
369107	28220404	1	5
369108	28220504	1	5
369109	28220505	1	5
369110	28220506	1	5
379001	28240201	1	5
379002	28240202	1	5
379003	28240203	1	5
379004	28240204	1	5
379005	28240205	1	5
379006	28240206	1	5
379007	28240301	1	5
379008	28240302	1	5
379009	28240303	1	5
379010	28240304	1	5
379011	28240305	1	5
379012	28240401	1	5
379013	28240402	1	5
379014	28240501	1	5
379015	28240502	1	5
379016	28240503	1	5
379017	28240504	1	5
379018	28240505	1	5
379019	28240506	1	5
379020	28240601	1	5
379021	28240602	1	5
