父任务ID	父任务组	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	活动类型
800		7	1	Actor/Quest/WQ800						
2000	1201		1	Actor/Quest/AQ2000			102000	1201		
2001	1201		1	Actor/Quest/AQ2001			102001	1201		
2002	1201		1	Actor/Quest/AQ2002			102002	1201		
2003	1201		1	Actor/Quest/AQ2003			102003	1202		
2004	1201		1	Actor/Quest/AQ2004			102004	1202		
2005	1201		1	Actor/Quest/AQ2005			102005	1202		
2006	1201		1	Actor/Quest/AQ2006			102006	1202		
2007	1201		1	Actor/Quest/AQ2007			102007	1202		
2008	1201		1	Actor/Quest/AQ2008			102008	1203		
2009	1201		1	Actor/Quest/AQ2009			102009	1203		
2010	1210		1	Actor/Quest/AQ2010			102010	1204		
2011			1	Actor/Quest/AQ2011			102011	1202		
2012			1	Actor/Quest/AQ2012			102012	1202		
2013			1	Actor/Quest/AQ2013			102013	1202		
2014	1210		1	Actor/Quest/AQ2014			102014	1204		
2015	1210		1	Actor/Quest/AQ2015			102015	1204		
2016	1210		1	Actor/Quest/AQ2016			102016	1204		
2017	1210		1	Actor/Quest/AQ2017			102017	1204		
2018	1210		1	Actor/Quest/AQ2018			102018	1204		
2019	1210		1	Actor/Quest/AQ2019			102019	1204		
2020	1210		1	Actor/Quest/AQ2020			102020	1204		
2021	1210		1	Actor/Quest/AQ2021			102021	1204		
2022			1	Actor/Quest/AQ2022						
2023				Actor/Quest/AQ2023						
2024	1210			Actor/Quest/AQ2024				1204		
2025				Actor/Quest/AQ2025						
8000	1104		1	Actor/Quest/AQ8000			108000	1104		
8001	1104		1	Actor/Quest/AQ8001			108001	1104		
8002	1104		1	Actor/Quest/AQ8002			108002	1104		
8003	1104		1	Actor/Quest/AQ8003			108003	1104		
10120	2019	2	1	Actor/Quest/LQ10120			110120	2019		
10121	2019	2	1	Actor/Quest/LQ10121			110121	2019		
10122	2019	2	1	Actor/Quest/LQ10122			110122	2019		
10500	2010	2	1	Actor/Quest/LQ10500			110500	2010		
10501	2010	2	1	Actor/Quest/LQ10501			110501	2010		
10502	2010	2	1	Actor/Quest/LQ10502			110502	2010		
10503	2010	2	1					2010		
11008		7	1	Actor/Quest/WQ11008			111008			
