条件组id	条件列表
1	10011,10013,10014,10015,10016,10017,10018,10019,10020,10021
500101	500101,500102,500103
500301	5003001,5003002,5003101,5003102,5003103,5003104,5003105,5003106,5003107,5003108
500501	
2001001	2001001,2001002,2001003,2001004,2001301,2001302,2001303,2001101,2001102,2001103,2001311,2001304,2001400,2001401,2001402,2001403,2001404,2001405,2001104,2001105,2001106,2001107,2001108,2001109,2001110,2001111,2001112,2001113,2001114,2001115,2001116
500601	50060101,50060102,50060103,50060104,50060105,50060106,50060107
500701	50070101,50070102,50070103,50070104,50070105,50070106,50070107,50070108
3001001	3001001,3001002,3001003,3001004,3001005,3001006,3001101,3001102,3001103,3001104,3001105,3001201,3001202,3001203,3001204
501101	50110101,50110102
501201	5012001,5012002,5012003,5012004
501401	50140101,50140102
501601	50160101,50160102,50160103,50160104
200201	2002101,2002102,2002103,2002104,2002105,2002106,2002107,2002150,2002151,2002152,2002153,2002154,2002155,2002156,2002157,2002158,2002159,2002160,2002161,2002162,2002163,2002201,2002202,2002203,2002301,2002302,2002303,2002304,2002305,2002306,2002400,2002401,2002402,2002500,2002501,2002502,2002503,2002504,2002505,2002506,2002507,2002508,2002601,2002164,2002165,2002166,2002167,2002168,2002108
501701	50170101,50170102,50170103
2003001	2003000,2003001,2003002,2003003,2003004,2003005,2003101,2003102,2003103,2003104,2003201,2003202,2003203,2003204,2003205,2003206,2003207,2003208,2003209,2003210,2003211,2003212,2003301,2003302,2003303,2003304,2003401,2003402,2003105,2003106,2003107,2003108
600301	6003001
501901	5019001,5019002,5019003,5019004,5019005,5019006,5019007,5019008,5019009
502001	5020001,5020002,5020003,5020004,5020005,5020006,5020007,5020008,5020009,5020010
502301	5023001,5023002,5023010,5023003,5023004,5023005,5023006,5023007,5023008,5023009
502401	5024001,5024002,5024003,5024004,5024005,5024006,5024007,5024008,5024009,5024010,5024011,5024012,5024013,5024014,5024015,5024016,5024017,5024018,5024019,5024020,5024021,5024022,5024023,5024024,5024025,5024026
502201	5022001,5022002,5022003,5022004
200401	2004001,2004002,2004003,2004004,2004005,2004006,2004007,2004008,2004009,2004010,2004011,2004012,2004013,2004014
200501	2005015,2005041,2005031,2005026,2005025,2005024,2005023,2005022,2005021,2005011,2005010,2005009,2005008,2005007,2005006,2005005,2005004,2005003,2005002,2005001,2005000,2005051,2005052,2005053,2005054,2005055,2005016
503001	5030001,5030002,5030003,5030004,5030005,5030006,5030007,5030008
503101	50310101,50310102,50310103
503301	5033001,5033002,5033003,5033004,5033005,5033006,5033007,5033008,5033009,5033010,5033011,5033012,5033013,5033014,5033015,5033016,5033017,5033018,5033019,5033020,5033021,5033022,5033023,5033024,5033025,5033026,5033027,5033028,5033029,5033030,5033031,5033032,5033033,5033034,5033035
503201	5032001,5032002,5032003,5032004,5032005,5032006,5032007,5032008,5032009
503401	5034001,5034002
503501	50350101,50350102,50350103
200601	2006001,2006002,2006003,2006004,2006005,2006006,2006007,2006008,2006009,2006101,2006102,2006103,2006104,2006105,2006106,2006107,2006108,2006109,2006110,2006111,2006112
503701	50370101,50370102,50370103,50370104
504101	5041001,5041002,5041003,5041004,5041005,5041006,5041007,5041008,5041009,5041010
200701	2007000,2007001,2007002,2007003,2007004,2007005,2007006,2007101,2007102,2007103,2007201,2007202,2007203,2007301,2007302,2007303,2007401,2007501,2007601,2007602
504001	5040001,5040002,5040003,5040004,5040005,5040006,5040007,5040101,5040102,5040103
504401	50440101,50440102,50440103,50440104
504701	5047001,5047002,5047003,5047004,5047005,5047006,5047101,5047102,5047103
200801	2008001,2008002,2008003,2008004,2008005,2008006,2008007,2008008,2008009,2008010
504901	50490001,50490002,50490003,50490101,50490102,50490201,50490202,50490301,50490302,50490303,50490304,50490401,50490402,50490403,50490501,50490502,50490601
505001	50500101,50500102,50500103,50500104,50500105,50500106,50500107,50500108,50500109
