ID	客机不可交互时是否显示按钮	操作解除联机匹配
1		
2		
3		
4		
5		
6		
7		
8		
9		
10		
11		
12		
13		
14		
15		
16		
24		
25		
30		
31		
169		
170		
171		
173		
174		
175		
176		
177		
178		
179		
180		
181		
182		
183		
184		
185		
186		
187		
188		
189		
201		
202		
203		
204		
205		
210		
211		
212		
213		
214	1	
215		
216		
217		
218		
219		
301		
302		
303		
304		
305		
306		
307		
308		
309		
310		
321		
322		
323		
1002		
1003		
2901		1
2902		1
2903		
2904		
2905	1	
33		
34		
35		
36		
37		
38		
39		
40		
41		
42		
43		
44		
45		
46		
47		
48		
49		
50		
3001		
3002		
3003		
3004		
3005		
51		
52		
53		
4001	1	
4002	1	
4003	1	
4004	1	
4005	1	
71821		
4006	1	
4007	1	
54	1	
55	1	
56	1	
57	1	
58	1	
59	1	
60		
4100		
4101		
4102		
4103		
61		
62		
63		
64		
65		
2350	1	
2351	1	
66		
67		
68		
69		
70		
71		
72		
73		
74		
75		
76		
77		
78		
79		
80		
81		
82		
83		
84		
30110		
85		
86		
87		
88		
89		
90		
91		
92		
