ID	SeriesID	数据写类型	数据trigger类型	替换统计	累加统计	是否废弃	参数
10101001	10101	1	服务器测试trigger	0	0		
10101002	10101	2	test1	0	0		
10101003	10101	2	uid	0	0		
10101004	10101	2	hunter_miss_none	0	0		
10101005	10101	2	hunter_miss_one	0	0		
10101006	10101	2	hunter_miss_two	0	0		
10101007	10101	2	hunter_miss_all	0	0		
10101008	10101	2	prey_alive_only	0	0		
10101009	10101	2	extra_skill_user	0	0		
10101010	10101	2	prey_alive_win	0	0		
10101011	10101	2	prey_dead_win	0	0		
10101012	10101	2	prey_dead_final	0	0		
10101013	10101	2	prey_dead_first	0	0		
10101014	10101	2	hunter_catch_by_guide	0	0		
10101015	10101	2	hunter_detect_prey	0	0		
10101016	10101	2	prey_win_without_skill	0	0		
10101017	10101	2	prey_cheat_hunter	0	0		
10101018	10101	2	player_get_energy	0	0		
10101019	10101	2	hunter_win_by_EX	0	0		
10101020	10101	2	hunter_win_in_time	0	0		
10101021	10101	2	prey_win_by_guide	0	0		
10101022	10101	2	prey_win_by_detect	0	0		
10101023	10101	2	prey_dead_second	0	0		
10101024	10101	1	躲猫猫抓捕者胜利剩余时间	0	0		
10101025	10101	1	躲猫猫躲藏者非幽灵状态时间	0	0		
10101026	10101	1	躲猫猫胜利	0	0		
10101027	10101	2	hunter_catch_sum	0	0		
10101028	10101	2	player_get_energy	0	0		
10201001	10201	2	Activity_BD_MaxScore	0	0		
10201002	10201	2	Activity_BD_ShooterDieCount	0	0		
10201003	10201	2	Activity_BD_PerfectCount7006	0	0		
10201004	10201	2	Activity_BD_SoilCount7006	0	0		
10201005	10201	2	Activity_BD_SpeedCount7006	0	0		
10201006	10201	2	Activity_BD_FeverCount	0	0		
10201007	10201	2	Activity_BD_PepperCount	0	0		
10201011	10201	2	Activity_BD_PerfectCount7013	0	0		
10201012	10201	2	Activity_BD_IceCount7013	0	0		
10201013	10201	2	Activity_BD_NoFrozenCount7013	0	0		
10201014	10201	2	Activity_BD_AutoReturnCount	0	0		
10201021	10201	2	Activity_BD_PerfectCount7014	0	0		
10201022	10201	2	Activity_BD_CurveCount7014	0	0		
10201023	10201	2	Activity_BD_NoDirtyCount7014	0	0		
10201024	10201	2	Activity_BD_ShieldDieCount7014	0	0		
10201031	10201	2	Activity_BD_DamageValue	0	0		
10201032	10201	2	Activity_BD_PerfectValue	0	0		
10201033	10201	2	Activity_BD_NoSufferHit	0	0		
10201034	10201	2	Activity_BD_SpeedValue	0	0		
10201035	10201	2	Activity_BD_ShieldDestroy	0	0		
10201036	10201	2	Activity_BD_FeverDestroy	0	0		
10201037	10201	2	Activity_BD_FeverValue	0	0		
10201041	10301	1	机关棋谭挑战成功	0	0		
10201042	10301	1	机关棋谭怪物逃跑数量	0	0		
10201043	10301	1	机关棋谭抵御轮次	0	0		
10201044	10301	1	机关棋谭选择诅咒牌数量	0	0		
10201045	10301	1	机关棋谭选择挑战牌数量	0	0		
10201046	10301	1	机关棋谭获得建造值	0	0		
10201047	10301	1	机关棋谭选择SSR卡牌数量	0	0		
10201048	10301	1	机关棋谭最后一轮战斗时长	0	0		
10401001	10401	1	对指定类型怪物造成伤害	0	0		24021102
10401002	10401	1	对指定类型怪物造成伤害	0	0		24020103,24020203,24020303,24020403
10401003	10401	2	SLC_Activity_BlitzRush_WeakTrigger	0	0		
10401004	10401	2	SLC_Activity_BlitzRush_Enhanced_Killed	0	0		
10401005	10401	2	SLC_Activity_BlitzRush_AttackTagTrigger	0	0		
10401006	10401	2	SLC_RoleElectricBomb_AttackSum_S4	0	0		
10401007	10401	2	SLC_RoleElectricPowerSource_AttackSum_S4	0	0		
10402001	10402	2	SLC_RoleElectricBomb_MultiAttack	0	0		
10402002	10402	2	SLC_RoleElectricBomb_AttackSum	0	0		
10402003	10402	2	SLC_RoleElectricPowerSource_MultiConnect	0	0		
10402004	10402	2	SLC_RoleElectricPowerSource_AttackSum	0	0		
10501001	10501	2	MoonlitCamp_HavePlayed	0	0		
10601001	10601	2	Activity_PursinaChallenge_watcher_1	0	0		
10601002	10601	2	Activity_PursinaChallenge_watcher_2	0	0		
10601003	10601	2	Activity_PursinaChallenge_watcher_3	0	0		
10601004	10601	2	Activity_PursinaChallenge_watcher_4	0	0		
10601005	10601	2	Activity_PursinaChallenge_watcher_5	0	0		
10601006	10601	2	Activity_PursinaChallenge_watcher_6	0	0		
10601011	10601	2	Activity_Pursina_Group_133007088	0	0		
10601012	10601	2	Activity_Pursina_Group_133106029	0	0		
10601013	10601	2	Activity_Pursina_Group_133105052	0	0		
10601014	10601	2	Activity_Pursina_Group_133212585	0	0		
10601015	10601	2	Activity_Pursina_Group_133008669	0	0		
10601016	10601	2	Activity_Pursina_Group_133108194	0	0		
10601021	10601	2	Activity_Pursina_Group_133007082	0	0		
10601022	10601	2	Activity_Pursina_Group_133105048	0	0		
10601023	10601	2	Activity_Pursina_Group_133106028	0	0		
10601024	10601	2	Activity_Pursina_Group_133212576	0	0		
10601025	10601	2	Activity_Pursina_Group_133008668	0	0		
10601026	10601	2	Activity_Pursina_Group_133108193	0	0		
10601027	10601	2	Activity_Pursina_Group_133223271	0	0		
