索引ID	ScheduleID	AbilityGroupName
1	5040001	Ability_Activity_Sumo_NormalAttack
2	5040001	Ability_Activity_Sumo_ExtraAttack
3	5040001	Ability_Activity_Sumo_FallingDamage
4	5040001	Ability_Activity_Sumo_GenerateBall_AfterElementalArt
5	5040001	Ability_Activity_Sumo_Elemental_Burst
6	5040001	Ability_Activity_Sumo_ShieldBeingHitDoAttack
7	5040001	Ability_Activity_Sumo_TriggerAoe_AfterHealUp
8	5040001	Ability_Activity_Sumo_Fever_Faster
9	5040001	Ability_Activity_Sumo_ElemMasteryDelta
10	5040001	Ability_Activity_Sumo_ElementAddHurt_Fire
11	5040001	Ability_Activity_Sumo_ElementAddHurt_Ice
12	5040001	Ability_Activity_Sumo_ElementAddHurt_Elec
13	5040001	Ability_Activity_Sumo_ElementAddHurt_Rock
14	5040001	Ability_Activity_Sumo_ElementAddHurt_Water
15	5040001	Ability_Activity_Sumo_ElementAddHurt_Wind
16	5040001	Ability_Activity_Sumo_PhysicalAddHurt
17	5040001	Ability_Activity_Sumo_CriticalHurtDelta
18	5040001	Ability_Activity_Sumo_AtkUp
