提示台词ID	停留显示时长
400001	3
400002	3
400003	3
400004	3
400005	3
400006	6
400007	6
400008	6
400009	6
400010	3
400011	3
400012	3
400013	3
400014	3
400015	3
400016	5
400017	5
400018	3
400019	3
400020	5
400021	5
400022	5
400023	5
400024	5
400025	5
400026	3
400027	3
400028	5
400029	5
400030	5
400031	7.5
400032	3
400033	3
400034	3
400035	3
400036	3
400037	3
400038	3
400039	3
400040	3
400041	3
400042	7.5
400043	3
400044	3
400045	3
400046	3
400047	3
400048	3
400049	3
400050	3
400051	3
400052	3
400053	3
400054	3
400055	3
400056	3
400057	3
400058	3
400059	3
400060	3
400061	3
400062	3
400063	3
400064	3
400065	3
400066	3
400067	3
400068	3
400069	5
400070	5
400071	5
400072	5
400073	5
400074	5
400075	5
400076	5
400077	5
400078	10
400079	3
400080	3
400081	3
400082	3
400083	3
400084	5
400085	5
400086	5
400087	5
400088	5
400089	5
400095	5
