活动排期id	试用角色ID1	试用角色ID2	试用角色ID3	试用角色ID4	试用角色ID5	试用角色奖励1	试用角色奖励2	试用角色奖励3	试用角色奖励4	试用角色奖励5
5002001	1	2	3			480001	480002	480003		
5002002	4	5	6			480001	480002	480003		
5002003	7	12	9	13		480001	480002	480003	480004	
5002004	11	8	14	10		480001	480002	480003	480004	
5002005	16	18	19	20		480001	480002	480003	480004	
5002006	15	17				480001	480002			
5002007	22	31	24	25		480001	480002	480003	480004	
5002008	21	27	28			480001	480002	480003		
5002009	1	19	14			480001	480002	480003		
5002010	7	29	18			480001	480002	480003		
5002011	30	23	26			480001	480002	480003		
5002012	11	32	31			480001	480002	480003		
5002013	33	25	27	24		480001	480002	480003	480004	
5002014	4	19	18			480001	480002	480003		
5002015	34	29	26	14		480001	480002	480003	480004	
5002016	35	23	28	32		480021	480162	480243	480354	
5002017	36	31	25	37		480361	480272	480313	480394	
5002018	38	40	19			480401	480412	480303		
5002019	39	29	24	27		480421	480322	480133	480144	
5002020	7	23	28	32		480211	480162	480243	480354	
5002021	21	41	31	37		480331	480372	480273	480394	
