ID	AbilityName	[参数信息]1参数名	[参数信息]1参数	[参数信息]2参数名	[参数信息]2参数	[参数信息]3参数名	[参数信息]3参数	[参数信息]4参数名	[参数信息]4参数	[参数信息]5参数名	[参数信息]5参数	参数名列表	参数值列表	是否刷新所有AbilitySpecials
200001	Activity_Rogue_Monster_HPUp_Stage1	HPUpRatio	0.25									HPUpRatio	0.25	
200002	Activity_Rogue_Monster_HPUp_Stage2	HPUpRatio	0.5									HPUpRatio	0.5	
200003	Activity_Rogue_Monster_HPUp_Stage3	HPUpRatio	1									HPUpRatio	1	
200004	Activity_Rogue_Monster_HPUp_Stage4	HPUpRatio	0.5									HPUpRatio	0.5	
200005	Activity_Rogue_Monster_HPUp_Stage5	HPUpRatio	1									HPUpRatio	1	
200006	Activity_Rogue_Monster_HPUp_Stage6	HPUpRatio	1									HPUpRatio	1	
200007	Activity_Rogue_Monster_HPUp_Stage7	HPUpRatio	1.5									HPUpRatio	1.5	
200008	Activity_Rogue_Monster_SelfHeal	Threshold	0.3	HealLatency	10	HealRatio	0.3					Threshold,HealLatency,HealRatio	0.3,10,0.3	
200009	MonsterAffix_Property_HpUp_01_ForMistTrial	HPUpRatio	0.5									HPUpRatio	0.5	
200010	MonsterAffix_Property_HpUp_02_ForMistTrial	HPUpRatio	1									HPUpRatio	1	
200011	Activity_Rogue_Monster_HPUp_Stage8	HPUpRatio	2	AtkUpRatio	0.25							HPUpRatio,AtkUpRatio	2,0.25	
200012	Activity_Rogue_Monster_HPUp_Stage9	HPUpRatio	3	AtkUpRatio	0.25							HPUpRatio,AtkUpRatio	3,0.25	
200013	LevelEntity_ChannellerSlabV2_Monster_HpUp_Lv1	HPUpRatio	0.5									HPUpRatio	0.5	
200014	LevelEntity_ChannellerSlabV2_Monster_HpUp_Lv2	HPUpRatio	2									HPUpRatio	2	
200015	LevelEntity_ChannellerSlabV2_Monster_HpUp_Lv3	HPUpRatio	4									HPUpRatio	4	
200016	LevelEntity_ChannellerSlabV2_Monster_AtkUp_Lv1	AtkUpRatio	0.5									AtkUpRatio	0.5	
200017	MonsterAffix_WeakTimeModify_ForChannellerSlabV2	ModifyRatio	-0.5									ModifyRatio	-0.5	
200018	GeneralSkill_SelfHeal_ForChannellerSlabV2	SelfHealThreshold	0.15	SelfHealLatency	6	SelfHealRatio	0.3	Times	1			SelfHealThreshold,SelfHealLatency,SelfHealRatio,Times	0.15,6,0.3,1	
200019	Activity_ChannellerSlab_DamageArea_Impulse	DamageRatio	6	DamageRatioEnhanced	12							DamageRatio,DamageRatioEnhanced	6,12	
200020	Sylph_Rock_Elite_Activated_DeathPosAction	DeathrattleDamage	3	DeathrattleChargeUp	50							DeathrattleDamage,DeathrattleChargeUp	3,50	
200021	MonsterAffix_Sylph_ChargeUp_01_ForChannellerSlab	ChargeUpTime	1	ChargeUpQuantity	4							ChargeUpTime,ChargeUpQuantity	1,4	
200022	Sylph_Water_Elite_Activated_DeathPosAction	DeathrattleChargeUp	50									DeathrattleChargeUp	50	
200023	Sylph_Wind_Elite_Activated_DeathPosAction	DeathrattleChargeUp	50									DeathrattleChargeUp	50	
200024	MonsterAffix_Hound_AttackEnhance_01_ForChannellerSlab	AttackEnhanceRatio	2									AttackEnhanceRatio	2	
200026	SceneObj_Monster_Sylph_AttackEnhance	SylphAttackEnhanceRatio	0.25									SylphAttackEnhanceRatio	0.25	
200027	MonsterAffix_Ningyo_HPDown_ForAbyss	HPUpRatio	-0.25									HPUpRatio	-0.25	
200028	GeneralSkill_SubHurtDelta_Periodicity	SubHurtDelta_Initialize	0.1	SubHurtDelta_SingleDown	-0.03	SubHurtDelta_FloorCount	10	Periodicity_Recover	20			SubHurtDelta_Initialize,SubHurtDelta_SingleDown,SubHurtDelta_FloorCount,Periodicity_Recover	0.1,-0.03,10,20	
200029	MonsterAffix_AdditionalHPAndAttack_ForSelfPickChallenge	Stage1HPRatio	0.25	Stage1AtkRatio	0	Stage2HPRatio	0.5	Stage2AtkRatio	0	Stage3HPRatio	1	Stage1HPRatio,Stage1AtkRatio,Stage2HPRatio,Stage2AtkRatio,Stage3HPRatio,Stage3AtkRatio,Stage4HPRatio,Stage4AtkRatio	0.25,0,0.5,0,1,0.05,1.75,0.1	
