DisplayID	SeriesID	condType	[参数]1类型	[参数]1参数	[参数]2类型	[参数]2参数	[参数]3类型	[参数]3参数	[参数]4类型	[参数]4参数
1101001	10101	1	3	0	3	1				
1101002	10101	1	3	0	3	1				
1101003	10101	2	4	1101024	4	1101019				
1101004	10101	1	1	10101005	3	1				
1101005	10101	1	1	10101006	3	1				
1101006	10101	1	1	10101007	3	1				
1101007	10101	1	1	10101008	3	1				
1101008	10101	1	3	0	3	1				
1101009	10101	2	4	1101029	4	1101019				
1101010	10101	2	4	1101030	4	1101019				
1101011	10101	1	1	10101012	3	1				
1101012	10101	1	1	10101013	3	1				
1101013	10101	2	4	1101025	4	1101019				
1101014	10101	2	4	1101026	4	1101019				
1101015	10101	2	4	1101031	4	1101009	1	10101021		
1101016	10101	2	4	1101032	4	1101009	1	10101022		
1101017	10101	2	4	1101034	4	1101033				
1101018	10101	1	3	1	3	1				
1101019	10101	1	1	10101026	3	1				
1101020	10101	1	1	10101027	3	1				
1101021	10101	1	1	10101028	3	1				
1101022	10101	1	1	10101024	3	1				
1101023	10101	1	1	10101025	3	1				
1101024	10101	1	1	10101004	3	1				
1101025	10101	1	1	10101019	3	1				
1101026	10101	1	1	10101020	3	1				
1101027	10101	1	1	10101008	3	1				
1101028	10101	1	1	10101009	3	1				
1101029	10101	1	1	10101010	3	1				
1101030	10101	1	1	10101011	3	1				
1101031	10101	1	1	10101021	3	3				
1101032	10101	1	1	10101022	3	3				
1101033	10101	1	3	0	1	10101026				
1101034	10101	1	1	10101023	3	1				
1101035	10101	1	1	10101016	3	1				
1101036	10101	2	4	1101007	4	1101021	1	10101010		
1101037	10101	2	4	1101021	1	10101010	4	1101048		
1101038	10101	2	4	1101021	4	1101049	4	1101048		
1101039	10101	1	1	10101029	3	1				
1101040	10101	1	1	10101030	3	1				
1101041	10101	1	1	10101031	3	2				
1101042	10101	2	1	10101032	1	10101010				
1101043	10101	2	1	10101033	1	10101010				
1101044	10101	2	1	10101034	1	10101010				
1101045	10101	1	1	10101035	3	2				
1101046	10101	2	4	1101045	1	10101026				
1101047	10101	1	1	10101017	3	3				
1101048	10101	1	1	10101036	3	2				
1101049	10101	3	1	10101011	4	1101033				
10201001	10201	1	1	10201032	3	20				
10201002	10201	1	1	10201032	3	35				
10201003	10201	1	1	10201031	3	900				
10201004	10201	1	1	10201031	3	1300				
10201005	10201	1	3	0	1	10201033				
10201006	10201	1	1	10201034	3	5				
10201007	10201	1	1	10201036	3	1				
10201008	10201	1	1	10201037	3	5				
10301001	10301	1	1	10201041	3	1				
10301002	10301	1	3	15	1	10201042				
10301003	10301	1	3	10	1	10201042				
10301004	10301	1	3	5	1	10201042				
10301005	10301	1	1	10201043	3	2				
10301006	10301	1	1	10201043	3	3				
10301007	10301	1	1	10201043	3	4				
10301008	10301	1	1	10201044	3	3				
10301009	10301	1	1	10201044	3	4				
10301010	10301	1	1	10201044	3	5				
10301011	10301	1	1	10201045	3	3				
10301012	10301	1	1	10201045	3	4				
10301013	10301	1	1	10201045	3	5				
10301014	10301	2	4	10301002	4	10301001				
10301015	10301	2	4	10301003	4	10301001				
10301016	10301	2	4	10301004	4	10301001				
10301017	10301	2	4	10301010	4	10301001				
10301018	10301	2	4	10301013	4	10301001				
10301019	10301	1	1	10201046	3	18888				
10301020	10301	1	3	0	1	10201047				
10301021	10301	1	3	60	1	10201048				
10301022	10301	2	4	10301019	4	10301001				
10301023	10301	2	4	10301020	4	10301001				
10301024	10301	2	4	10301021	4	10301001				
10401001	10401	1	1	10401001	3	1				
10401002	10401	1	1	10401002	3	1				
10401003	10401	1	1	10401003	3	1				
10401004	10401	1	1	10401004	3	1				
10401005	10401	1	3	0	1	10401005				
10401006	10401	1	1	10401006	3	1				
10401007	10401	1	1	10401007	3	1				
10701001	10701	1	1	10701001	3	1				
10701002	10701	1	1	10701002	3	1				
10701003	10701	5	1	10701003	2	10701029				
10701004	10701	5	1	10701004	2	10701029				
10701005	10701	1	1	10701005	3	1				
10701006	10701	1	1	10701006	3	1				
10701007	10701	5	1	10701007	2	10701030				
10701008	10701	5	1	10701008	2	10701030				
10701009	10701	1	1	10701009	3	1				
10701010	10701	1	1	10701010	3	1				
10701011	10701	5	1	10701011	2	10701031				
10701012	10701	5	1	10701012	2	10701031				
10701013	10701	1	1	10701013	3	1				
10701014	10701	1	1	10701014	3	1				
10701015	10701	5	1	10701015	2	10701032				
10701016	10701	5	1	10701016	2	10701032				
10701017	10701	1	1	10701017	3	1				
10701018	10701	1	1	10701018	3	1				
10701019	10701	5	1	10701019	2	10701033				
10701020	10701	5	1	10701020	2	10701033				
10701021	10701	1	1	10701021	3	1				
10701022	10701	1	1	10701022	3	1				
10701023	10701	5	1	10701023	2	10701034				
10701024	10701	5	1	10701024	2	10701034				
10701025	10701	1	1	10701025	3	1				
10701026	10701	1	1	10701026	3	1				
10701027	10701	5	1	10701027	2	10701035				
10701028	10701	5	2	10701028	2	10701035				
10901001	10901	5	1	10901001	4	10901010				
10901002	10901	1	1	10901002	3	1				
10901003	10901	6	1	10901003						
10901005	10901	6	1	10901005						
10901006	10901	1	1	10901003	3	1				
10901008	10901	1	1	10901005	3	1				
10901013	10901	1	3	10	3	1				
10901010	10901	6	1	10901001						
11001101	11001	1	1	11001101	3	1				
11001102	11001	1	1	11001102	3	1				
11001103	11001	1	1	11001103	3	1				
11001108	11001	1	1	11001108	3	1				
11001109	11001	1	1	11001109	3	40				
11001110	11001	1	1	11001109	3	90				
