BgmID	是否默认解锁	室内是否可用	室外是否可用
101		1	1
102		1	1
103		1	1
104		1	1
105	1	1	1
106		1	1
107		1	1
108		1	1
109		1	1
110	1	1	1
111		1	1
112		1	1
113		1	1
114		1	1
115		1	1
116		1	1
117		1	1
118		1	1
119		1	1
120		1	1
121	1	1	1
122		1	1
123		1	1
124		1	1
125		1	1
126		1	1
201	1	1	1
202	1	1	1
203		1	1
204		1	1
205		1	1
206		1	1
207		1	1
208		1	1
209		1	1
210		1	1
211		1	1
212		1	1
213		1	1
214		1	1
215		1	1
216		1	1
217		1	1
218		1	1
219		1	1
220		1	1
221		1	1
222		1	1
223		1	1
224		1	1
225	1	1	1
226		1	1
