规则ID	区服列表	UID尾号	开始时间	结束时间	冒险等级范围	大世界ID	地城ID	怪物ID
2	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		29020101
3	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		29020102
4	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		20040101,20040201,20040301,20040501
5	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		26020101,26020201
6	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		26050101,26050201,26050301,26050401
7	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	40,60		3387,3487,3587,3388,3488,3588,3391,3491,3591,3392,3492,3592,105,106,112,113,116,117,120,121,124,125,129,130,2024,2025,7203,7204,7205,7206,7207,7208,7209,7210,7211,7212,7213,7214,7215,7216,7217,7218,7219,5017,4403,4343,5203,3011,3012,3013,3014,3015,3016,3393,3493,3593,3394,3494,3594,3395,3495,3595,3396,3496,3596,3397,3497,3597,3398,3498,3598,7302,131,132,133,134,3399,3499,3599,3400,3500,3600,3027,3028,3029,3030,3031,3032,5128,3401,3402,3501,3502,3601,3602,3040,3041,3042,3043,3044,3045	-1
8	cb2plus_battle02	0,1,2,3,4,5,6,7,8,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		24010101
9	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		25090101
10	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		20040601
11	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		24021101
12	cb2plus_battle02	0,1,2,3,4,5,6,7,8,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		24010301,25100101,25100201,26040101,26040102,26040103,26040104,29060102,29050103,29050104,20040401,20070101,26050101,26050201,26050301,26050401,24020101,24020201,24020301,24020401,22040101,22040201,22050101,22050201
13	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		20040401
14	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		20070101
15	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		22060101
16	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	3,4		26010103,28020901,28020902
17	cb2plus_battle02	0,1,2,3,4,5,6,7,8,9	2021-03-01 04:00:00	2077-01-01 04:00:00	1,60		-1	-1
18	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	5		26050701,26050801
19	-1	0,2,7,9	2021-03-01 04:00:00	2088-01-01 04:00:00	1,60	6		24010401
