ID	名称$text_name_Name	Prefab路径	Prefab_Remote路径	Controller路径	Controller_Remote路径	默认阵营	JSON名称	JSON路径文件名	能否战斗	能否移动	能否发声	是否常驻	角色npc初见分组
1047	神里绫人	ART/Char/NPC/NPC_Avatar/NPC_Avatar_Male_Sword_Ayato				2001		ConfigNpc_Common_AnimatorMove		1	1		66
1700	安娜	ART/Char/NPC/NPC_Mengde/NPC_Mengde_Female/NPC_Mengde_Female_Standard_Anna_1700				2001		ConfigNpc_Common_AnimatorMove_Female		1	1	1	
2000	阿望	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Wang_2000				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2061	沐宁	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Muning_2061				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2151	铁弘	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Tiehong_2151				2001		ConfigNpc_Common_AnimatorMove_Male_NoAction		1	1	1	
2152	老臭	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Fat_Stinky_2152				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2153	天奕	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Tianyi_2153				2001		ConfigNpc_Common_AnimatorMove_Male_NoAction		1	1	1	
2154	塔列辛	ART/Char/NPC/NPC_Liyue/NPC_Liyue_Male/NPC_Liyue_Male_Standard_Taliesin_2154				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
2155	赞玛兰	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2156	「安全距离爆破装置·信号指南」	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2157	尼古拉下士的信	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2158	合成	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC						
2159	工作手册	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2160	愚人众笔记	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2161	盗宝团书信	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2162	盗宝团书信	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2163	层岩巨渊爆破组通知	ART/Char/NPC/NPC_Others/NPC_Others_Readable_Invisible				2001	ReadableNPC			1	1	1	
2164	王平安	ART/Char/NPC/NPC_Quest/NPC_Quest_Male_Strong_Wangpingan_12326				2001		ConfigNpc_Common_AnimatorMove_Male		1	1	1	
