ID	DisplayID	SeriesID	Display参数
1	1101003	10101	1
2	1101004	10101	1
3	1101005	10101	1
4	1101006	10101	1
5	1101007	10101	1
6	1101008	10101	1
7	1101009	10101	1
8	1101010	10101	1
9	1101011	10101	1
10	1101012	10101	1
11	1101013	10101	1
12	1101014	10101	1
13	1101015	10101	3
14	1101016	10101	3
15	1101017	10101	1
16	1101018	10101	1
17	10201001	10201	1
18	10201002	10201	1
19	10201003	10201	1
20	10201004	10201	1
21	10201005	10201	1
22	10201006	10201	1
23	10201007	10201	1
24	10201008	10201	1
25	10401001	10401	1
26	10401002	10401	1
27	10401003	10401	1
28	10401004	10401	1
29	10401005	10401	1
30	10401006	10401	1
31	10401007	10401	1
32	10901001	10901	1
33	10901002	10901	1
34	10901003	10901	1
36	10901005	10901	1
37	10901006	10901	1
39	10901008	10901	1
40	10901013	10901	1
41	11001101	11001	1
42	11001102	11001	1
43	11001103	11001	1
44	11001108	11001	1
45	11001109	11001	1
46	1101035	10101	1
47	1101036	10101	1
48	1101037	10101	1
49	1101038	10101	1
50	1101039	10101	1
51	1101040	10101	1
52	1101041	10101	1
53	1101042	10101	1
54	1101043	10101	1
55	1101044	10101	1
56	1101046	10101	1
57	1101047	10101	1
