ID	DisplayID	SeriesID	Display参数	计分类型	分数
1	1101001	10101		1	10
2	1101002	10101		1	10
3	1101019	10101		1	150
4	1101020	10101	1	2	100
5	1101021	10101	1	2	100
6	1101022	10101	1	2	1
7	1101023	10101	1	2	1
8	1101003	10101		1	100
9	1101004	10101		1	50
10	1101005	10101		1	50
11	1101006	10101		1	50
12	1101007	10101		1	100
13	1101008	10101		1	50
14	1101009	10101		1	100
15	1101010	10101		1	50
16	1101011	10101		1	50
17	1101012	10101		1	50
18	1101013	10101		1	50
19	1101014	10101		1	150
20	1101015	10101		1	50
21	1101016	10101		1	100
22	1101017	10101		1	50
23	10301001	10301		1	150
24	10301014	10301		1	60
25	10301015	10301		1	60
26	10301016	10301		1	60
27	10301005	10301		1	60
28	10301006	10301		1	60
29	10301007	10301		1	60
30	10301017	10301		1	60
31	10301018	10301		1	60
32	10301022	10301		1	60
33	10301023	10301		1	60
34	10301024	10301		1	60
35	1101035	10101		1	50
36	1101036	10101		1	100
37	1101037	10101		1	50
38	1101038	10101		1	50
39	1101039	10101		1	50
40	1101040	10101		1	50
41	1101041	10101		1	50
42	1101042	10101		1	50
43	1101043	10101		1	50
44	1101044	10101		1	50
45	1101046	10101		1	50
46	1101047	10101		1	50
