ID	LevelTagName	关联SceneID	增加的SceneTag	移除的SceneTag	LevelTag变动冻结环境时间
1	2_4_Day	5		120	8
2	2_4_Night	5	120		20
3	2_5_Day	7		123	8
4	2_5_Night	7	123		20
100000	2_7_CY_Rogue_1_000	20128			
100001	2_7_CY_Rogue_1_001	20128			
100002	2_7_CY_Rogue_1_002	20128			
100003	2_7_CY_Rogue_1_003	20128			
100010	2_7_CY_Rogue_1_010	20128			
100011	2_7_CY_Rogue_1_011	20128			
100012	2_7_CY_Rogue_1_012	20128			
100013	2_7_CY_Rogue_1_013	20128			
100020	2_7_CY_Rogue_1_020	20128			
100021	2_7_CY_Rogue_1_021	20128			
100022	2_7_CY_Rogue_1_022	20128			
100023	2_7_CY_Rogue_1_023	20128			
100030	2_7_CY_Rogue_1_030	20128			
100031	2_7_CY_Rogue_1_031	20128			
100032	2_7_CY_Rogue_1_032	20128			
100033	2_7_CY_Rogue_1_033	20128			
100100	2_7_CY_Rogue_1_100	20128			
100101	2_7_CY_Rogue_1_101	20128			
100102	2_7_CY_Rogue_1_102	20128			
100103	2_7_CY_Rogue_1_103	20128			
100110	2_7_CY_Rogue_1_110	20128			
100111	2_7_CY_Rogue_1_111	20128			
100112	2_7_CY_Rogue_1_112	20128			
100113	2_7_CY_Rogue_1_113	20128			
100120	2_7_CY_Rogue_1_120	20128			
100121	2_7_CY_Rogue_1_121	20128			
100122	2_7_CY_Rogue_1_122	20128			
100123	2_7_CY_Rogue_1_123	20128			
100130	2_7_CY_Rogue_1_130	20128			
100131	2_7_CY_Rogue_1_131	20128			
100132	2_7_CY_Rogue_1_132	20128			
100133	2_7_CY_Rogue_1_133	20128			
100200	2_7_CY_Rogue_1_200	20128			
100201	2_7_CY_Rogue_1_201	20128			
100202	2_7_CY_Rogue_1_202	20128			
100203	2_7_CY_Rogue_1_203	20128			
100210	2_7_CY_Rogue_1_210	20128			
100211	2_7_CY_Rogue_1_211	20128			
100212	2_7_CY_Rogue_1_212	20128			
100213	2_7_CY_Rogue_1_213	20128			
100220	2_7_CY_Rogue_1_220	20128			
100221	2_7_CY_Rogue_1_221	20128			
100222	2_7_CY_Rogue_1_222	20128			
100223	2_7_CY_Rogue_1_223	20128			
100230	2_7_CY_Rogue_1_230	20128			
100231	2_7_CY_Rogue_1_231	20128			
100232	2_7_CY_Rogue_1_232	20128			
100233	2_7_CY_Rogue_1_233	20128			
100300	2_7_CY_Rogue_1_300	20128			
100301	2_7_CY_Rogue_1_301	20128			
100302	2_7_CY_Rogue_1_302	20128			
100303	2_7_CY_Rogue_1_303	20128			
100310	2_7_CY_Rogue_1_310	20128			
100311	2_7_CY_Rogue_1_311	20128			
100312	2_7_CY_Rogue_1_312	20128			
100313	2_7_CY_Rogue_1_313	20128			
100320	2_7_CY_Rogue_1_320	20128			
100321	2_7_CY_Rogue_1_321	20128			
100322	2_7_CY_Rogue_1_322	20128			
100323	2_7_CY_Rogue_1_323	20128			
100330	2_7_CY_Rogue_1_330	20128			
100331	2_7_CY_Rogue_1_331	20128			
100332	2_7_CY_Rogue_1_332	20128			
100333	2_7_CY_Rogue_1_333	20128			
200000	2_7_CY_Rogue_2_000	20128			
200001	2_7_CY_Rogue_2_001	20128			
200002	2_7_CY_Rogue_2_002	20128			
200003	2_7_CY_Rogue_2_003	20128			
200010	2_7_CY_Rogue_2_010	20128			
200011	2_7_CY_Rogue_2_011	20128			
200012	2_7_CY_Rogue_2_012	20128			
200013	2_7_CY_Rogue_2_013	20128			
200020	2_7_CY_Rogue_2_020	20128			
200021	2_7_CY_Rogue_2_021	20128			
200022	2_7_CY_Rogue_2_022	20128			
200023	2_7_CY_Rogue_2_023	20128			
200030	2_7_CY_Rogue_2_030	20128			
200031	2_7_CY_Rogue_2_031	20128			
200032	2_7_CY_Rogue_2_032	20128			
200033	2_7_CY_Rogue_2_033	20128			
200100	2_7_CY_Rogue_2_100	20128			
200101	2_7_CY_Rogue_2_101	20128			
200102	2_7_CY_Rogue_2_102	20128			
200103	2_7_CY_Rogue_2_103	20128			
200110	2_7_CY_Rogue_2_110	20128			
200111	2_7_CY_Rogue_2_111	20128			
200112	2_7_CY_Rogue_2_112	20128			
200113	2_7_CY_Rogue_2_113	20128			
200120	2_7_CY_Rogue_2_120	20128			
200121	2_7_CY_Rogue_2_121	20128			
200122	2_7_CY_Rogue_2_122	20128			
200123	2_7_CY_Rogue_2_123	20128			
200130	2_7_CY_Rogue_2_130	20128			
200131	2_7_CY_Rogue_2_131	20128			
200132	2_7_CY_Rogue_2_132	20128			
200133	2_7_CY_Rogue_2_133	20128			
200200	2_7_CY_Rogue_2_200	20128			
200201	2_7_CY_Rogue_2_201	20128			
200202	2_7_CY_Rogue_2_202	20128			
200203	2_7_CY_Rogue_2_203	20128			
200210	2_7_CY_Rogue_2_210	20128			
200211	2_7_CY_Rogue_2_211	20128			
200212	2_7_CY_Rogue_2_212	20128			
200213	2_7_CY_Rogue_2_213	20128			
200220	2_7_CY_Rogue_2_220	20128			
200221	2_7_CY_Rogue_2_221	20128			
200222	2_7_CY_Rogue_2_222	20128			
200223	2_7_CY_Rogue_2_223	20128			
200230	2_7_CY_Rogue_2_230	20128			
200231	2_7_CY_Rogue_2_231	20128			
200232	2_7_CY_Rogue_2_232	20128			
200233	2_7_CY_Rogue_2_233	20128			
200300	2_7_CY_Rogue_2_300	20128			
200301	2_7_CY_Rogue_2_301	20128			
200302	2_7_CY_Rogue_2_302	20128			
200303	2_7_CY_Rogue_2_303	20128			
200310	2_7_CY_Rogue_2_310	20128			
200311	2_7_CY_Rogue_2_311	20128			
200312	2_7_CY_Rogue_2_312	20128			
200313	2_7_CY_Rogue_2_313	20128			
200320	2_7_CY_Rogue_2_320	20128			
200321	2_7_CY_Rogue_2_321	20128			
200322	2_7_CY_Rogue_2_322	20128			
200323	2_7_CY_Rogue_2_323	20128			
200330	2_7_CY_Rogue_2_330	20128			
200331	2_7_CY_Rogue_2_331	20128			
200332	2_7_CY_Rogue_2_332	20128			
200333	2_7_CY_Rogue_2_333	20128			
204000	2_7_CY_Rogue_1_B_00	20127			
204001	2_7_CY_Rogue_1_B_01	20127			
204002	2_7_CY_Rogue_1_B_02	20127			
204003	2_7_CY_Rogue_1_B_03	20127			
204010	2_7_CY_Rogue_1_B_10	20127			
204011	2_7_CY_Rogue_1_B_11	20127			
204012	2_7_CY_Rogue_1_B_12	20127			
204013	2_7_CY_Rogue_1_B_13	20127			
204100	2_7_CY_Rogue_1_C_00	20127			
204101	2_7_CY_Rogue_1_C_01	20127			
204102	2_7_CY_Rogue_1_C_02	20127			
204103	2_7_CY_Rogue_1_C_03	20127			
204110	2_7_CY_Rogue_1_C_10	20127			
204111	2_7_CY_Rogue_1_C_11	20127			
204112	2_7_CY_Rogue_1_C_12	20127			
204113	2_7_CY_Rogue_1_C_13	20127			
204200	2_7_CY_Rogue_1_D_00	20127			
204201	2_7_CY_Rogue_1_D_01	20127			
204202	2_7_CY_Rogue_1_D_02	20127			
204203	2_7_CY_Rogue_1_D_03	20127			
