ID	类型ID	父任务ID	章节ID	优先级
1	1			1
2	2		2003	1
3	2		2005	2
4	2		1105	3
5	2		2021	4
6	2		2022	5
7	3	20031		1
8	3	20505		2
9	3	20506		3
10	3	70650		4
11	3	70651		5
12	3	22111		6
13	3	71650		7
14	3	11008		8
15	3	70661		9
16	3	72657		10
17	3	71654		11
18	3	71655		12
19	3	72183		13
20	3	73673		14
21	4	72233		1
22	4		10051	2
23	5		2020	1
24	5		2027	2
25	7		2013	1
26	7		2014	2
27	7		2023	3
28	7		2001	4
29	7		2002	5
30	7		2004	6
31	7		2006	7
32	7		2007	8
33	7		2008	9
34	7		2009	10
35	7		2010	11
36	7		2011	12
37	7		2012	13
38	7		2016	14
39	7		2017	15
40	7		2018	16
41	7		2019	17
42	7		2024	18
43	7		2025	19
44	7		2026	20
45	7		2028	21
46	7		2029	22
47	7		2031	23
48	7		2030	24
51	8	71811		1
52	8	71812		2
53	8	72672		3
54	8	41402		4
55	9	70141		1
56	9		10061	2
57	9		10031	3
58	9		10032	4
59	9		10055	5
60	9		10025	6
61	9		10036	7
62	9		10037	8
63	9		10044	9
64	9		10070	10
65	9		10073	11
66	9		10076	12
67	9		10077	13
68	9		10078	14
69	9		10079	15
70	9		10080	16
71	9		10081	17
72	9		10069	18
73	9		10072	19
74	9		10083	20
76	10		101401	1
77	10		103401	2
78	10		103601	3
79	10		103201	4
80	10		103402	5
81	10		103901	6
82	10		102401	7
83	10		105001	8
84	10		105301	9
85	10		105501	10
86	10		106401	11
87	10		102701	12
88	10		106501	13
89	10		105901	14
